en,en_context,puj,latn_norm,han
a,,che̍k-kâi,chek8-kai5,一個
a,,che̍k-chiah,chek8-chiah4,一隻
aback,,pùe-ãu,pue3-au6,背後
aback,taken aback at meeting one,ngõ--tie̍h uak--chē-kiè,ngo6--tieh8 uak4--che7-kie3,遇着斡些叫
abacus,,sǹg-pûaⁿ,sng3-puann5,算盤
abacus,to work the,kiah-sǹg-pûaⁿ,kiah4-sng3-puann5,揭算盤
abacus,to work the,khà-sǹg-pûaⁿ,kha3-sng3-puann5,扣算盤
abaft,the foremast,thâu-ûi-ãu,thau5-ui5-au6,頭圍後
abandon,,pàng-tiāu,pang3-tiau7,放掉
abandon,,ka̍k-tiāu,kak8-tiau7,捔掉
abandon,,sek-tiāu,sek4-tiau7,擲掉
abandon,,lī-khui,li7-khui1,離開
abandon,,màiⁿ,mainn3,勿
abase,,kàng-khip,kang3-khip4,降級
abash,,sit-nâng kâi-thí-mīn,sit4-nang5 kai5-thi2-min7,失人个體面
abash,abashed,tshâm-khũi,chham5-khui6,慚愧
abash,abashed,kièn-siàu,kien3-siau3,見笑
abash,abashed,siáu-lí,siau2-li2,少禮
abash,abashed,siu-chhí,siu1-chhi2,羞恥
abate,,kiám,kiam2,減
abate,,chié,chie2,少
abate,the price,sǹg-kiám,sng3-kiam2,算減
abate,the price,tṳ̂-kiám,tur5-kiam2,除減
abate,the price,khà-kiám,kha3-kiam2,敲減
abate,the price,khà-tṳ̂,kha3-tur5,敲除
abate,the price,kiám--chē,kiam2--che7,減些
abate,the price,chié--chē,chie2--che7,少些
abbess,(Buddhist),sṳ-hũ,sur1-hu6,師父
abbess,(Buddhist),hûe-siēⁿ-phûa,hue5-sienn7-phua5,和尚婆
abbess,(Buddhist),nîⁿ-kou-phûa,ninn5-kou1-phua5,尼姑婆
abbot,(Buddhist),sṳ-hũ,sur1-hu6,師父
abbot,(Buddhist),hûe-siēⁿ-thâu,hue5-sienn7-thau5,和尚頭
abbot,(Buddhist),tang-ke,tang1-ke1,東家
abbreviation,,sié-siá,sie2-sia2,小寫
abbreviation,a compendium,tãi-lia̍k,tai6-liak8,大略
abdicate,,siā-cheh,sia7-cheh4,謝職
abdicate,,sî-kuaⁿ,si5-kuann1,辭官
abdicate,of a sovereign,siā-ūi,sia7-ui7,謝位
abdicate,of a sovereign,thò-ūi,tho3-ui7,退位
abdomen,,tóu,tou2,肚
abdomen,,tóu-pak,tou2-pak4,肚腹
abduct,,kuái-tô,kuai2-to5,拐逃
abduct,,thau-kiau,thau1-kiau1,偷驕
abduct,,thau-kāng-tsáu,thau1-kang7-chau2,偷共走
abet,,pang-tsõ,pang1-cho6,幫做
abet,,pang-ak,pang1-ak4,幫惡
abhor,,lóu,lou2,惱
abhor,,ù,u3,塢
abhor,,lóu-hṳ̃n,lou2-hurn6,惱恨
abide,,kṳ-tsũ,kur1-chu6,居住
abide,,khiã-khí,khia6-khi2,徛起
abide,,tiū,tiu7,住
abject,,hiã-tsūaⁿ,hia6-chuann7,下賤
abject,,hiã-liû,hia6-liu5,下流
ability,,lêng-kàng,leng5-kang3,能降
ability,,pún-sṳ̄,pun2-sur7,本事
ability,,pún-niáⁿ,pun2-niann2,本領
ability,,tshâi-chhêng,chhai5-chheng5,才情
ability,,tshâi-lêng,chhai5-leng5,才能
ability,have not the ability to do,bô-lêng-ûi,bo5-leng5-ui5,無能為
abjure,,chiù-tsūa bô-chí-kâi-sṳ̄,chiu3-chua7 bo5-chi2-kai5-sur7,咒誓無此個事
abjure,one’s religion,húan-kà,huan2-ka3,反教
abjure,one’s religion,pũe-kà,pue6-ka3,背教
able,,lêng,leng5,能
able,,õi,oi6,會
able,,miâⁿ-ke,miann5-ke1,名家
able,,ũ-lêng-ûi,u6-leng5-ui5,有能爲
ablution,,sói-chheng-khih,soi2-chheng1-khih4,洗清潔
ablution,,sói-chheng,soi2-chheng1,洗清
ablution,,sói-sin,soi2-sin1,洗身
ablution,,sói-e̍k,soi2-ek8,洗浴
aboard,,tõ-tsûn,to6-chun5,在船
aboard,,tsûn-téng,chun5-teng2,船頂
aboard,,lo̍h-tsûn,loh8-chun5,落船
abolish,,tṳ̂-tiāu,tur5-tiau7,除掉
abolish,,hùi-tiāu,hui3-tiau7,廢掉
abominable,,khó-ù,kho2-u3,可惡
abominable,,tshūa-nâng-lóu,chhua7-nang5-lou2,𤆬人惱
abominate,,ù,u3,塢
abominate,,lóu,lou2,惱
abominate,,kĩ,ki6,企
aborigines,,thóu-jîn,thou2-jin5,土人
aborigines,,pńg-tī-nâng,png2-ti7-nang5,本地人[訓]
abortion,,lo̍h-sié-súaⁿ,loh8-sie2-suann2,落小產
abortion,,lo̍h-sin,loh8-sin1,落身
abortion,,phah-tó a-nôuⁿ,phah4-to2 a1-nounn5,拍嬰
abortion,to produce by medicine,ēng-ie̍h lo̍h-tiāu a-nôuⁿ,eng7-ieh8 loh8-tiau7 a1-nounn5,用藥落掉阿孥
abound,,hoh-tsōi,hoh4-choi7,酷㩼
abound,,tōa-bó-mue̍h,tua7-bo2-mueh8,大母物
abound,,tsōi-tsōi,choi7-choi7,㩼㩼
abound,,sẽng,seng6,盛
