latn_norm,han
a1,丫
a1,亞
a1,阿
a1,鴉
a2,拗
a2,掗
a3,䛩
a3,亞
a3,詏
a6,啊
a7,啊
ah4,呷
ah4,押
ah4,鴨
ai1,哀
ai1,唉
ai1,埃
ai1,挨
ai2,藹
ai2,靄
ai5,𡟓
ai7,哀
ai7,哎
ainn3,愛
ainn3,欲
ainn3,艾
ak4,惡
ak4,抑
ak4,沃
ak4,軋
am1,庵
am1,𤲅
am2,飲
am3,暗
am3,黯
am6,頷
an1,安
an1,氨
an1,胺
an3,宴
an3,按
an3,晏
an3,案
an3,鼴
ang1,尪
ang1,翁
ang1,骯
ang1,鵪
ang3,甕
ang3,盎
ang5,洪
ang5,紅
ann1,掩
ann7,餡
ap4,呷
ap4,押
ap8,匣
ap8,盒
au1,凹
au1,區
au1,坳
au1,歐
au1,毆
au1,漚
au1,甌
au1,鏖
au1,鷗
au2,嘔
au2,拗
au2,毆
au3,懊
au3,漚
au5,喉
au6,後
ba1,貓
ba3,䶕
ba3,齙
ba7,峇
bah4,肉
bai5,嵋
bai5,眉
bak8,墨
bak8,木
bak8,茉
bat8,密
bau2,卯
bau2,鉚
be2,碼
be2,馬
beh8,麥
bi2,米
bi3,氼
bi7,味
bi7,未
bie5,描
bie5,瞄
bie7,廟
bih4,癟
bih4,覕
bit8,蜜
bo2,拇
bo2,母
bo2,𡚸
bo5,亡
bo5,唔
bo5,毋
bo5,無
bo7,帽
bo7,磨
boi2,買
boi6,袂
boi6,𠀾
boi6,𠁞
boi6,𣍐
boi7,賣
bou2,母
bou2,牡
bou2,畝
bou2,𡚸
bou5,模
bou7,戊
bu2,侮
bu2,撫
bu2,武
bu2,舞
bu2,鵡
bu5,巫
bu5,無
bu5,蕪
bu5,誣
bu6,務
bu7,霧
bua5,磨
buah4,抹
buah4,撥
buah8,末
buah8,沫
buan6,慢
buan6,曼
buan6,漫
buan6,蔓
buan6,謾
buan6,饅
buan7,萬
buang2,妄
buang2,罔
buang2,魍
buang5,亡
buang5,忘
buang6,望
bue2,尾
bue2,美
bue5,媒
bue5,枚
bue5,梅
bue5,煤
bue5,脢
bue5,酶
bue5,黴
bue7,未
bueh8,襪
bui3,痱
bun1,呅
bun1,燜
bun1,蚊
bun5,文
bun5,玫
bun5,紊
bun5,紋
bun6,聞
bun7,悶
but4,勿
but4,吻
cha1,咱
cha1,喳
cha1,扎
cha1,昨
cha1,查
cha1,渣
cha1,猹
cha1,碴
cha1,諸
cha2,怎
cha2,早
cha2,昔
cha2,昨
