latn_norm,han,zh_TW,zh_CN,en
ka2-thiann3,㽱痛,絞痛,,
san2,㾪,瘦,,
san2-kut4-lak8-nek8,㾪骨落肉,瘦骨嶙峋,,
ng2,䘼,袖子,,
a3,䛩|詏,爭辯,,
chiann2,䭕,(味)淡,,
ba3-ge5,䶕牙,齙牙,,
tienn6-nang5,丈人,岳父,,
ta1-pou1,丈夫,男人,,
ta1-pou1-kiann2,丈夫囝,男孩,,
tienn6-m2,丈母,岳母,,
tienn6-m2-phua5,丈母婆,丈母娘,,
e6-hai5,下頦,下巴,,
si3-chheng5,世情,通情達理,,
hek8,乏,疲勞,,
khurh4,乞,給,,
khurt4-chiah8,乞食,乞丐,,
kau1-inn2,交椅,靠背椅,,
nang5-kheh4,人客|儂客,客人,,
hue2-thau5,伙頭|火頭,廚師,,
ku1-ie1,佝腰|痀腰,佝僂,,
sai2-chinn5,使錢,花錢,,
to3-tah8,倒誻,囉嗦,,
phian1-kou1,偏枯|㾫枯,半身不遂,,
cho3-chhit4,做七,燒七,,
cho3-senn1-jit8,做生日,過生日,,
cho3-choih4,做節,過節,,
cho3-kha1-chhiu2,做骹手,動手腳,,
kiann7,健,健壯,,
pek4-chhek4,偪側,易怒,,
nang5-sur7,儂事|人事,人情世故,,
nang5-chheng5,儂情|人情,面子,,
nang5-chhiann5,儂情|人情,恩情,,
lai6,內,家,,
uan1-ke1,冤家|寃家,吵鬧,,
uang1-khuk4,冤屈,冤枉,,
tiau1-khiak4,刁厥,刁潑,,
tiau1-tun3,刁蹬,刁難,,
pat4,別,認識,,
tok4-chho7,剁脞,剁碎,,
lat8,力,勤勞,,
tong6-kak4,動角,手杖,,
pu5-hia1,匏桸|瓠𣟵,水瓢,,
lan7-pha1,卵脬,陰囊,,
khou2-kong2,口㼦,漱口杯,,
tang5-mng5,同門,連襟,,
miann1-sek4,名色,名譽,,
miann1-thau5,名頭,名聲,,
tuah4,咄,叱責,,
