puj,han,fanqie,zh_TW,source,page_num
a,亞,英膠切,俗問何合,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上平聲,262
a,阿,英膠切,同上,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上平聲,262
a,桠,英膠切,樹之分,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上平聲,262
a,枝,英膠切,曰ー,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上平聲,262
a,鴉,英膠切,烏鴉鳥,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上平聲,262
a,蜉,英膠切,ー嫁女,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上平聲,262
ah,鳴,英膠切,鶯鳴辭鳴啭鳴,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上入聲,266
ah,宇,英膠切,見曰宇啭宇,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上入聲,266
ai,容,英皆切,止奇觀,004_Tie_Siann_Tsap_Ngou_Im > （皆）部上平聲,148
ai,曰,英皆切,和曰雷謳雲謳也,004_Tie_Siann_Tsap_Ngou_Im > （皆）部上平聲,148
ai,力,英皆切,也又稱也,004_Tie_Siann_Tsap_Ngou_Im > （皆）部上平聲,148
ai,雲,英皆切,氣也矮雲,004_Tie_Siann_Tsap_Ngou_Im > （皆）部上平聲,148
ai,雲,英皆切,氣也趕海中,004_Tie_Siann_Tsap_Ngou_Im > （皆）部上平聲,148
ai,嫩,英皆切,嫩人名這,004_Tie_Siann_Tsap_Ngou_Im > （皆）部上平聲,148
ai,姐,英皆切,之奸也,004_Tie_Siann_Tsap_Ngou_Im > （皆）部上平聲,148
ai,以,英皆切,肉為,004_Tie_Siann_Tsap_Ngou_Im > （皆）部上平聲,148
ai,醬,英皆切,也,004_Tie_Siann_Tsap_Ngou_Im > （皆）部上平聲,148
ak,惡,英江切,暴惡兇惡不善之名,004_Tie_Siann_Tsap_Ngou_Im > （江）部上入聲,252
ak,抑,英江切,枝也治也屈也遺也,004_Tie_Siann_Tsap_Ngou_Im > （江）部上入聲,252
ak,垩,英江切,土色也,004_Tie_Siann_Tsap_Ngou_Im > （江）部上入聲,252
am,窰,英甘切,佛堂也,004_Tie_Siann_Tsap_Ngou_Im > （甘）部上平聲,331
am,堂,英甘切,－院,004_Tie_Siann_Tsap_Ngou_Im > （甘）部上平聲,331
am,菴,英甘切,茅舍也,004_Tie_Siann_Tsap_Ngou_Im > （甘）部上平聲,331
am,庵,英甘切,廟堂也,004_Tie_Siann_Tsap_Ngou_Im > （甘）部上平聲,331
am,盦,英甘切,－所以祀佛也僧老尼！,004_Tie_Siann_Tsap_Ngou_Im > （甘）部上平聲,331
an,棱,英柑切,疏其年目俗曰－,004_Tie_Siann_Tsap_Ngou_Im > （柑）部上平聲,319
au,思,英鈎切,思思念思思德思思愛,004_Tie_Siann_Tsap_Ngou_Im > （鈎）部上平聲,173
aû,後,英高切,裕先後前後,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,39
aû,后,英高切,同上又,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,39
aû,奥,英高切,淙之奥美奥,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
aû,揣,英高切,磨也,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
aû,誤,英高切,言也以,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
aû,熝,英高切,火水也,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
aû,墺,英高切,地近水,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
aû,嶴,英高切,山嶴,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
aû,量,英高切,也,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
aû,訥,英高切,言近也,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
aû,懊,英高切,生蕩懊恨也根也,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
aû,燠,英高切,也同姑夫,004_Tie_Siann_Tsap_Ngou_Im > （高）部下平聲,41
ba,媽,文膠切,俗稱祖母曰亞媽又,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上平聲,264
ba,稱,文膠切,之母曰外稱,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上平聲,264
ba,瑪,文膠切,瑪瑪石色,004_Tie_Siann_Tsap_Ngou_Im > （膠）部上平聲,264
