puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
,,,,畲歌畲嘻嘻,,,,,,005_Tie_Suann_Kua_Iau_Chip > 畲歌畲嘻嘻,12
,,,,我有畲歌一簸箕,,,,,,005_Tie_Suann_Kua_Iau_Chip > 畲歌畲嘻嘻,12
,,,,一千八百哩来斗,,,,,,005_Tie_Suann_Kua_Iau_Chip > 畲歌畲嘻嘻,12
,,,,一百八十勿磨边,,,,,,005_Tie_Suann_Kua_Iau_Chip > 畲歌畲嘻嘻,12
,,,,畲歌畲嗯嗯,,,,,,005_Tie_Suann_Kua_Iau_Chip > 畲歌畲嘻嘻,12
,,,,我有畲歌一米篩,,,,,,005_Tie_Suann_Kua_Iau_Chip > 畲歌畲嘻嘻,12
,,,,一千八百哩来斗,,,,,,005_Tie_Suann_Kua_Iau_Chip > 畲歌畲嘻嘻,12
,,,,一百八十勿磨来,,,,,,005_Tie_Suann_Kua_Iau_Chip > 畲歌畲嘻嘻,12
,,,,中秋夜,,,,,,005_Tie_Suann_Kua_Iau_Chip > 中秋夜,12
,,,,月娘娘,,,,,,005_Tie_Suann_Kua_Iau_Chip > 中秋夜,12
,,,,深深拜,,,,,,005_Tie_Suann_Kua_Iau_Chip > 中秋夜,12
,,,,团团圆,,,,,,005_Tie_Suann_Kua_Iau_Chip > 中秋夜,12
,,,,好夫婿,,,,,,005_Tie_Suann_Kua_Iau_Chip > 中秋夜,12
,,,,結良緣,,,,,,005_Tie_Suann_Kua_Iau_Chip > 中秋夜,12
,,,,今年团圆,,,,,,005_Tie_Suann_Kua_Iau_Chip > 中秋夜,12
,,,,明年团圆,,,,,,005_Tie_Suann_Kua_Iau_Chip > 中秋夜,12
,,,,年年团圆,,,,,,005_Tie_Suann_Kua_Iau_Chip > 中秋夜,12
,,,,一群娘仔穿紅裘,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一群娘仔穿紅裘,13
,,,,慼呀未嫁好風流,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一群娘仔穿紅裘,13
,,,,慼呀未嫁嫁給阮,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一群娘仔穿紅裘,13
,,,,待阮抉布来做裘,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一群娘仔穿紅裘,13
,,,,一群娘仔穿紅衫,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一群娘仔穿紅裘,13
,,,,慼呀未嫁留到担,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一群娘仔穿紅裘,13
,,,,慼呀未嫁嫁給阮,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一群娘仔穿紅裘,13
,,,,待阮抉布多做衫,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一群娘仔穿紅裘,13
,,,,歇山歇,,,,,,005_Tie_Suann_Kua_Iau_Chip > 歇山歇,13
,,,,歇山發草闢萋萋,,,,,,005_Tie_Suann_Kua_Iau_Chip > 歇山歇,13
,,,,君呀十八娘十七,,,,,,005_Tie_Suann_Kua_Iau_Chip > 歇山歇,13
,,,,有如好米打糖枝,,,,,,005_Tie_Suann_Kua_Iau_Chip > 歇山歇,13
,,,,东山东,,,,,,005_Tie_Suann_Kua_Iau_Chip > 歇山歇,13
,,,,东山發草闢葐葐,,,,,,005_Tie_Suann_Kua_Iau_Chip > 歇山歇,13
,,,,君呀十八娘十七,,,,,,005_Tie_Suann_Kua_Iau_Chip > 歇山歇,13
,,,,有如好米打糖方,,,,,,005_Tie_Suann_Kua_Iau_Chip > 歇山歇,13
,,,,鐘底鐘,,,,,,005_Tie_Suann_Kua_Iau_Chip > 鐘底鐘,13
,,,,鐘底开花金素英,,,,,,005_Tie_Suann_Kua_Iau_Chip > 鐘底鐘,13
,,,,好君亦着好娘配,,,,,,005_Tie_Suann_Kua_Iau_Chip > 鐘底鐘,13
,,,,好娘配君正耆旁,,,,,,005_Tie_Suann_Kua_Iau_Chip > 鐘底鐘,13
,,,,筒底筒,,,,,,005_Tie_Suann_Kua_Iau_Chip > 鐘底鐘,13
,,,,筒底开花是海棠,,,,,,005_Tie_Suann_Kua_Iau_Chip > 鐘底鐘,13
,,,,好君亦着好娘配,,,,,,005_Tie_Suann_Kua_Iau_Chip > 鐘底鐘,13
,,,,好娘配君名声香,,,,,,005_Tie_Suann_Kua_Iau_Chip > 鐘底鐘,13
,,,,茉莉花,,,,,,005_Tie_Suann_Kua_Iau_Chip > 茉莉花,14
,,,,白披披,,,,,,005_Tie_Suann_Kua_Iau_Chip > 茉莉花,14
,,,,赠情人,,,,,,005_Tie_Suann_Kua_Iau_Chip > 茉莉花,14
,,,,摘一枝,,,,,,005_Tie_Suann_Kua_Iau_Chip > 茉莉花,14
,,,,一座花园四点金,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一座花园四点金,14
,,,,夫妻相伴坐花阴,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一座花园四点金,14
,,,,眠起看花花含蕊,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一座花园四点金,14
,,,,夜昏看花花同心,,,,,,005_Tie_Suann_Kua_Iau_Chip > 一座花园四点金,14
,,,,阿姊嫁河我嫁河,,,,,,005_Tie_Suann_Kua_Iau_Chip > 阿姊嫁河我嫁河,14
,,,,难得阿姊来敓桃,,,,,,005_Tie_Suann_Kua_Iau_Chip > 阿姊嫁河我嫁河,14
,,,,难得食饭相换碗,,,,,,005_Tie_Suann_Kua_Iau_Chip > 阿姊嫁河我嫁河,14
,,,,难得裙衫做一竿,,,,,,005_Tie_Suann_Kua_Iau_Chip > 阿姊嫁河我嫁河,14
,,,,阿姊嫁墙我嫁墙,,,,,,005_Tie_Suann_Kua_Iau_Chip > 阿姊嫁河我嫁河,14
,,,,难得阿姊来告量,,,,,,005_Tie_Suann_Kua_Iau_Chip > 阿姊嫁河我嫁河,14
,,,,难得食饭相换碗,,,,,,005_Tie_Suann_Kua_Iau_Chip > 阿姊嫁河我嫁河,14
,,,,难得裙衫做一箱,,,,,,005_Tie_Suann_Kua_Iau_Chip > 阿姊嫁河我嫁河,14
,,,,喜欢欢,,,,,,005_Tie_Suann_Kua_Iau_Chip > 喜欢欢,14
,,,,欢喜喜,,,,,,005_Tie_Suann_Kua_Iau_Chip > 喜欢欢,14
,,,,阿妹綴阿姊,,,,,,005_Tie_Suann_Kua_Iau_Chip > 喜欢欢,14
,,,,阿爹發财来,,,,,,005_Tie_Suann_Kua_Iau_Chip > 喜欢欢,14
,,,,买有鱔脯共厚弼,,,,,,005_Tie_Suann_Kua_Iau_Chip > 喜欢欢,14
,,,,南風去了东風来,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南風去了东風来,15
,,,,东風来了笑面开,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南風去了东風来,15
,,,,撈魚都是东風力,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南風去了东風来,15
,,,,魚蝦满载伊迓来,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南風去了东風来,15
,,,,南山有园姜,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南山有园姜,15
,,,,娘呀共君细思量,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南山有园姜,15
,,,,君呀早早来去卖,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南山有园姜,15
,,,,好给娘你去烧香,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南山有园姜,15
,,,,南山有园烟,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南山有园姜,15
,,,,娘呀共君细思付,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南山有园姜,15
,,,,君呀早早来去卖,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南山有园姜,15
,,,,好给娘你做罗裙,,,,,,005_Tie_Suann_Kua_Iau_Chip > 南山有园姜,15
