puj,puj_proofread,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
a,a,a,,,阿,,A prefix to names of persons.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-nôuⁿ,a-nôⁿ,a-nôⁿ,,,,,my child.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-nouⁿ-kiáⁿ,a-noⁿ-kíaⁿ,a-noⁿ-kíaⁿ,,,,,an infant.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-hiaⁿ,a-hiaⁿ,a-hiaⁿ,,,,,elder brother.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-pẽ,a-pĕ,a-pĕ,,,,,father.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a,a,a,,,啞,,Confused vocal sounds.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
ou-a a-a-kiè,o-a a-a-kìe,o-a a-a-kìe,,,,,the raven croaks.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
nouⁿ-kiáⁿ khí-thâu o̍h tàⁿ-uē chiũ a-a-kiè,noⁿ-kíaⁿ khí-thâu ô̤h tàⁿ-ūe cĭu a-a-kìe,noⁿ-kíaⁿ khí-thâu ô̤h tàⁿ-ūe cĭu a-a-kìe,,,,,children beginning to learn to talk utter confused sounds.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a,a,a,,,鴉,,A raven with a white streak on its neck.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
ou-a,o-a,o-a,,,,,a crow.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
hṳ̂-a,hṳ̂-a,hṳ̂-a,,,,,a fish-hawk.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-phièn,a-phìen,a-phìen,,,,,opium.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
