puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
ai,Ái 1,,,哀,,Painful feelings; pity.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
ai,Ái 1,,,埃,,Dust; sand.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
ak,Ák 4,,,惡,,Wicked; sin.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
am,Ám 1,,,𢊊,,A small thatched cottage; a small monastery.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
am,Ám 1,,,菴,,A small thatched cottage; a small monastery.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
an,Án 1,,,安,,Rest; tranquility.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
an,Án 1,,,鞍,,A saddle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
ap,Áp 4,,,押,,To escort; control: collect.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
ap,Áp 4,,,狎,,Too familiar with; to make light of.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
at,Át 4,,,遏,,To forbid; hinder; cause to desist; to press down.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
at,Át 4,,,抑,,To press down; cause to stop: an interrogative particle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
au,Au 1,,,歐,,To spit out; vomit.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
au,Au 1,,,甌,,An earthen cup; bowl.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aù,Au 3-,,,奧,,Obscure; deep.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aù,Au 3-,,,懊,,Indignant; vexed; avaricious.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aú,Au 2,,,拗,,To seize and drag with the hand; to break; obstinate; perverse.,To sieze and drag with the hand; to break; obstinate; perverse.,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aú,Au 2,,,嘔,,To vomit; to nauseate; to spit.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aú,Au 2,,,毆,,To strike or beat; to wrangle; beat unjustly.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aû,Au -1,,,喉,,The throat.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aũ,Au -3,,,後,,After; behind.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
a̍h,Á -4,,,鴨,,A duck.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
a̍k,Ák -4,,,筪,,A kind of bamboo.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
a̍p,Áp -4,,,匣,,A small box.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
a̍p,Áp -4,,,㭱,,A cage.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
a̍p,Áp -4,,,盒,,A cover; a platter or dish; to cover over.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
ba̍k,Bák -4,,,木,,Wood.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
