latn_norm,puj,han
a1,a,阿
a1,a,𠜲
a1,a,啞
a1,a,㝞
a1,a,椏
a1,a,䃁
a1,a,丫
a1,a,鴉
a1,a,亞
a1,a,瘂
a1,a,疴
a1,a,痾
a2,á,掗
a2,á,拗
a3,à,亞
a3,à,襾
a3,à,婭
a3,à,㰳
a3,à,稏
a3,à,詏
ah4,ah,鴨
ah4,ah,押
ai1,ai,哀
ai1,ai,唉
ai1,ai,欸
ai1,ai,埃
ai1,ai,挨
ai1,ai,哎
ai1,ai,崴
ai1,ai,阨
ai1,ai,阸
ai2,ái,毐
ai2,ái,噯
ai2,ái,靉
ai2,ái,藹
ai2,ái,靄
ai2,ái,𣖻
ai2,ái,㕈
ai2,ái,偯
ai2,ái,壒
ai2,ái,矮
ai3,ài,噯
ai3,ài,壒
ai3,ài,愛
ai3,ài,曖
ai3,ài,瞹
ai3,ài,薆
ai3,ài,呃
ai3,ài,餲
ai3,ài,呝
ai3,ài,阸
ai3,ài,隘
ai6,ãi,𢟰
ainn3,àiⁿ,僾
ainn3,àiⁿ,欲
ak4,ak,惡
ak4,ak,堊
ak4,ak,嗌
ak4,ak,噁
ak4,ak,沃
ak8,a̍k,姶
ak8,a̍k,戄
ak8,a̍k,籰
am1,am,堷
am1,am,㛺
am1,am,腤
am1,am,諳
am1,am,盦
am1,am,庵
am1,am,菴
am1,am,葊
am1,am,唅
am1,am,喑
am1,am,陰
am1,am,隂
am1,am,阴
am1,am,𣱙
am2,ám,唵
am2,ám,揞
am2,ám,闇
am2,ám,黭
am2,ám,黶
am2,ám,埯
am2,ám,黯
am3,àm,闇
am3,àm,黭
am3,àm,暗
am3,àm,隌
am3,àm,䬓
am3,àm,㜝
am3,àm,晻
am6,ãm,碪
am6,ãm,頷
an1,an,安
an1,an,鵪
an1,an,鞍
an3,àn,按
an3,àn,宴
an3,àn,鴳
an3,àn,鷃
an3,àn,讌
an3,àn,案
an3,àn,晏
ang1,ang,公
ang3,àng,胦
ang3,àng,䐥
ang3,àng,甕
ang3,àng,瓮
ang3,àng,罋
ang5,âng,洪
ang5,âng,紅
ann5,âⁿ,攔
ap4,ap,押
ap4,ap,鴨
ap4,ap,庵
ap4,ap,菴
ap4,ap,葊
ap4,ap,閘
ap4,ap,匣
ap4,ap,𢘉
ap4,ap,狎
ap4,ap,廅
ap4,ap,厭
ap4,ap,唈
ap8,a̍p,匣
ap8,a̍p,盒
ap8,a̍p,柙
ap8,a̍p,㔩
at4,at,𡇼
at4,at,蠮
at4,at,抑
at4,at,遏
at4,at,閼
at4,at,堨
at4,at,胺
at4,at,頞
at4,at,圠
at4,at,揠
at4,at,軋
