puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source
a,,,,丫,,,,,,teochew.chars
a,,,,亞,,,,,,teochew.chars
a,,,,阿,,,,,,teochew.chars
a,,,,鴉,,,,,,teochew.chars
ah,,,,呷,,,,,,teochew.chars
ah,,,,押,,,,,,teochew.chars
ah,,,,鴨,,,,,,teochew.chars
ai,,,,哀,,,,,,teochew.chars
ai,,,,唉,,,,,,teochew.chars
ai,,,,埃,,,,,,teochew.chars
ai,,,,挨,,,,,,teochew.chars
ak,,,,惡,,,,,,teochew.chars
ak,,,,抑,,,,,,teochew.chars
ak,,,,沃,,,,,,teochew.chars
ak,,,,軋,,,,,,teochew.chars
am,,,,庵,,,,,,teochew.chars
am,,,,𤲅,,,,,,teochew.chars
an,,,,安,,,,,,teochew.chars
an,,,,氨,,,,,,teochew.chars
an,,,,胺,,,,,,teochew.chars
ang,,,,尪,,,,,,teochew.chars
ang,,,,翁,,,,,,teochew.chars
ang,,,,骯,,,,,,teochew.chars
ang,,,,鵪,,,,,,teochew.chars
ap,,,,呷,,,,,,teochew.chars
ap,,,,押,,,,,,teochew.chars
au,,,,凹,,,,,,teochew.chars
au,,,,區,,,,,,teochew.chars
au,,,,坳,,,,,,teochew.chars
au,,,,歐,,,,,,teochew.chars
au,,,,毆,,,,,,teochew.chars
au,,,,漚,,,,,,teochew.chars
au,,,,甌,,,,,,teochew.chars
au,,,,鏖,,,,,,teochew.chars
au,,,,鷗,,,,,,teochew.chars
aù,,,,懊,,,,,,teochew.chars
aù,,,,漚,,,,,,teochew.chars
aú,,,,嘔,,,,,,teochew.chars
aú,,,,拗,,,,,,teochew.chars
aú,,,,毆,,,,,,teochew.chars
aû,,,,喉,,,,,,teochew.chars
aũ,,,,後,,,,,,teochew.chars
a̍p,,,,匣,,,,,,teochew.chars
a̍p,,,,盒,,,,,,teochew.chars
aⁿ,,,,掩,,,,,,teochew.chars
ba,,,,貓,,,,,,teochew.chars
bah,,,,肉,,,,,,teochew.chars
ba̍k,,,,墨,,,,,,teochew.chars
ba̍k,,,,木,,,,,,teochew.chars
ba̍k,,,,茉,,,,,,teochew.chars
ba̍t,,,,密,,,,,,teochew.chars
be̍h,,,,麥,,,,,,teochew.chars
bih,,,,癟,,,,,,teochew.chars
bih,,,,覕,,,,,,teochew.chars
biê,,,,描,,,,,,teochew.chars
biê,,,,瞄,,,,,,teochew.chars
biē,,,,廟,,,,,,teochew.chars
bi̍t,,,,蜜,,,,,,teochew.chars
buah,,,,抹,,,,,,teochew.chars
buah,,,,撥,,,,,,teochew.chars
bua̍h,,,,末,,,,,,teochew.chars
bua̍h,,,,沫,,,,,,teochew.chars
bue̍h,,,,襪,,,,,,teochew.chars
bun,,,,呅,,,,,,teochew.chars
bun,,,,燜,,,,,,teochew.chars
bun,,,,蚊,,,,,,teochew.chars
but,,,,勿,,,,,,teochew.chars
but,,,,吻,,,,,,teochew.chars
buáng,,,,妄,,,,,,teochew.chars
buáng,,,,罔,,,,,,teochew.chars
buáng,,,,魍,,,,,,teochew.chars
buâng,,,,亡,,,,,,teochew.chars
buâng,,,,忘,,,,,,teochew.chars
buãn,,,,慢,,,,,,teochew.chars
buãn,,,,曼,,,,,,teochew.chars
buãn,,,,漫,,,,,,teochew.chars
buãn,,,,蔓,,,,,,teochew.chars
buãn,,,,謾,,,,,,teochew.chars
buãn,,,,饅,,,,,,teochew.chars
buãng,,,,望,,,,,,teochew.chars
buān,,,,萬,,,,,,teochew.chars
bà,,,,䶕,,,,,,teochew.chars
bà,,,,齙,,,,,,teochew.chars
báu,,,,卯,,,,,,teochew.chars
báu,,,,鉚,,,,,,teochew.chars
bâi,,,,嵋,,,,,,teochew.chars
bâi,,,,眉,,,,,,teochew.chars
bé,,,,碼,,,,,,teochew.chars
bé,,,,馬,,,,,,teochew.chars
bì,,,,氼,,,,,,teochew.chars
bí,,,,米,,,,,,teochew.chars
bó,,,,拇,,,,,,teochew.chars
bó,,,,母,,,,,,teochew.chars
bó,,,,𡚸,,,,,,teochew.chars
bói,,,,買,,,,,,teochew.chars
bóu,,,,母,,,,,,teochew.chars
bóu,,,,牡,,,,,,teochew.chars
bóu,,,,畝,,,,,,teochew.chars
bóu,,,,𡚸,,,,,,teochew.chars
bô,,,,亡,,,,,,teochew.chars
bô,,,,唔,,,,,,teochew.chars
bô,,,,毋,,,,,,teochew.chars
bô,,,,無,,,,,,teochew.chars
bôu,,,,模,,,,,,teochew.chars
bõi,,,,袂,,,,,,teochew.chars
bõi,,,,𠀾,,,,,,teochew.chars
bõi,,,,𠁞,,,,,,teochew.chars
bõi,,,,𣍐,,,,,,teochew.chars
bùi,,,,痱,,,,,,teochew.chars
bú,,,,侮,,,,,,teochew.chars
bú,,,,撫,,,,,,teochew.chars
bú,,,,武,,,,,,teochew.chars
bú,,,,舞,,,,,,teochew.chars
bú,,,,鵡,,,,,,teochew.chars
búe,,,,尾,,,,,,teochew.chars
búe,,,,美,,,,,,teochew.chars
bû,,,,巫,,,,,,teochew.chars
bû,,,,無,,,,,,teochew.chars
bû,,,,蕪,,,,,,teochew.chars
bû,,,,誣,,,,,,teochew.chars
bûa,,,,磨,,,,,,teochew.chars
bûe,,,,媒,,,,,,teochew.chars
bûe,,,,枚,,,,,,teochew.chars
bûe,,,,梅,,,,,,teochew.chars
bûe,,,,煤,,,,,,teochew.chars
bûe,,,,脢,,,,,,teochew.chars
bûe,,,,酶,,,,,,teochew.chars
bûe,,,,黴,,,,,,teochew.chars
bûn,,,,文,,,,,,teochew.chars
bûn,,,,玫,,,,,,teochew.chars
bûn,,,,紊,,,,,,teochew.chars
bûn,,,,紋,,,,,,teochew.chars
bā,,,,峇,,,,,,teochew.chars
bī,,,,味,,,,,,teochew.chars
bī,,,,未,,,,,,teochew.chars
bō,,,,帽,,,,,,teochew.chars
bō,,,,磨,,,,,,teochew.chars
bōi,,,,賣,,,,,,teochew.chars
bōu,,,,戊,,,,,,teochew.chars
bũ,,,,務,,,,,,teochew.chars
bũn,,,,聞,,,,,,teochew.chars
bū,,,,霧,,,,,,teochew.chars
būe,,,,未,,,,,,teochew.chars
būn,,,,悶,,,,,,teochew.chars
cheh,,,,仄,,,,,,teochew.chars
cheh,,,,績,,,,,,teochew.chars
cheh,,,,職,,,,,,teochew.chars
cheh,,,,責,,,,,,teochew.chars
chek,,,,則,,,,,,teochew.chars
chek,,,,叔,,,,,,teochew.chars
chek,,,,燭,,,,,,teochew.chars
chek,,,,癪,,,,,,teochew.chars
chek,,,,稷,,,,,,teochew.chars
chek,,,,積,,,,,,teochew.chars
cheng,,,,丁,,,,,,teochew.chars
cheng,,,,偵,,,,,,teochew.chars
cheng,,,,僧,,,,,,teochew.chars
cheng,,,,增,,,,,,teochew.chars
cheng,,,,幀,,,,,,teochew.chars
cheng,,,,征,,,,,,teochew.chars
cheng,,,,怔,,,,,,teochew.chars
cheng,,,,憎,,,,,,teochew.chars
cheng,,,,掙,,,,,,teochew.chars
cheng,,,,曾,,,,,,teochew.chars
cheng,,,,猙,,,,,,teochew.chars
cheng,,,,甑,,,,,,teochew.chars
cheng,,,,盅,,,,,,teochew.chars
cheng,,,,眾,,,,,,teochew.chars
cheng,,,,睛,,,,,,teochew.chars
cheng,,,,睜,,,,,,teochew.chars
cheng,,,,箏,,,,,,teochew.chars
cheng,,,,精,,,,,,teochew.chars
cheng,,,,舂,,,,,,teochew.chars
cheng,,,,蒸,,,,,,teochew.chars
cheng,,,,衆,,,,,,teochew.chars
cheng,,,,貞,,,,,,teochew.chars
cheng,,,,鍾,,,,,,teochew.chars
cheng,,,,鐘,,,,,,teochew.chars
che̍k,,,,一,,,,,,teochew.chars
che̍k,,,,壹,,,,,,teochew.chars
che̍k,,,,澤,,,,,,teochew.chars
che̍k,,,,蜀,,,,,,teochew.chars
cheⁿ,,,,争,,,,,,teochew.chars
cheⁿ,,,,爭,,,,,,teochew.chars
chhe,,,,叉,,,,,,teochew.chars
chhe,,,,尺,,,,,,teochew.chars
chhe,,,,岔,,,,,,teochew.chars
chhe,,,,差,,,,,,teochew.chars
chheh,,,,冊,,,,,,teochew.chars
chheh,,,,策,,,,,,teochew.chars
chhek,,,,側,,,,,,teochew.chars
chhek,,,,僳,,,,,,teochew.chars
chhek,,,,彳,,,,,,teochew.chars
chhek,,,,戚,,,,,,teochew.chars
chhek,,,,斥,,,,,,teochew.chars
chhek,,,,測,,,,,,teochew.chars
chhek,,,,粟,,,,,,teochew.chars
chhek,,,,觸,,,,,,teochew.chars
chheng,,,,淸,,,,,,teochew.chars
chheng,,,,清,,,,,,teochew.chars
chheng,,,,稱,,,,,,teochew.chars
chheⁿ,,,,星,,,,,,teochew.chars
chheⁿ,,,,氰,,,,,,teochew.chars
chheⁿ,,,,生,,,,,,teochew.chars
chheⁿ,,,,腥,,,,,,teochew.chars
chheⁿ,,,,蜻,,,,,,teochew.chars
chheⁿ,,,,親,,,,,,teochew.chars
chheⁿ,,,,靑,,,,,,teochew.chars
chheⁿ,,,,青,,,,,,teochew.chars
chhi,,,,凄,,,,,,teochew.chars
chhi,,,,妻,,,,,,teochew.chars
chhi,,,,差,,,,,,teochew.chars
chhi,,,,悽,,,,,,teochew.chars
chhi,,,,棲,,,,,,teochew.chars
chhi,,,,淒,,,,,,teochew.chars
chhi,,,,癡,,,,,,teochew.chars
chhi,,,,腮,,,,,,teochew.chars
chhi,,,,鰓,,,,,,teochew.chars
chhia,,,,奢,,,,,,teochew.chars
chhia,,,,賒,,,,,,teochew.chars
chhia,,,,車,,,,,,teochew.chars
chhiah,,,,刺,,,,,,teochew.chars
chhiah,,,,莿,,,,,,teochew.chars
chhiah,,,,赤,,,,,,teochew.chars
chhiak,,,,戳,,,,,,teochew.chars
chhiak,,,,綽,,,,,,teochew.chars
chhiak,,,,芍,,,,,,teochew.chars
chhiak,,,,雀,,,,,,teochew.chars
chhiak,,,,鵲,,,,,,teochew.chars
chhiam,,,,懺,,,,,,teochew.chars
chhiam,,,,殲,,,,,,teochew.chars
chhiam,,,,簽,,,,,,teochew.chars
chhiam,,,,籤,,,,,,teochew.chars
chhiam,,,,讖,,,,,,teochew.chars
chhiang,,,,嗆,,,,,,teochew.chars
chhiang,,,,戕,,,,,,teochew.chars
chhiang,,,,昌,,,,,,teochew.chars
chhiang,,,,猖,,,,,,teochew.chars
chhiau,,,,悄,,,,,,teochew.chars
chhiau,,,,鍬,,,,,,teochew.chars
chhiau,,,,𢲵,,,,,,teochew.chars
chhieh,,,,尺,,,,,,teochew.chars
chhieh,,,,淖,,,,,,teochew.chars
chhieh,,,,雀,,,,,,teochew.chars
chhien,,,,扦,,,,,,teochew.chars
chhien,,,,纖,,,,,,teochew.chars
chhien,,,,遷,,,,,,teochew.chars
chhien,,,,釺,,,,,,teochew.chars
chhien,,,,阡,,,,,,teochew.chars
chhien,,,,韆,,,,,,teochew.chars
chhiet,,,,切,,,,,,teochew.chars
chhiet,,,,沏,,,,,,teochew.chars
chhiet,,,,竊,,,,,,teochew.chars
chhie̍h,,,,席,,,,,,teochew.chars
chhie̍h,,,,蓆,,,,,,teochew.chars
chhieⁿ,,,,槍,,,,,,teochew.chars
chhieⁿ,,,,鯧,,,,,,teochew.chars
chhim,,,,深,,,,,,teochew.chars
chhin,,,,親,,,,,,teochew.chars
chhip,,,,緝,,,,,,teochew.chars
chhip,,,,輯,,,,,,teochew.chars
chhit,,,,七,,,,,,teochew.chars
chhit,,,,拭,,,,,,teochew.chars
chhit,,,,柒,,,,,,teochew.chars
chhiu,,,,初,,,,,,teochew.chars
chhiu,,,,揪,,,,,,teochew.chars
chhiu,,,,瞅,,,,,,teochew.chars
chhiu,,,,秋,,,,,,teochew.chars
chhiu,,,,鍬,,,,,,teochew.chars
chhiu,,,,鞦,,,,,,teochew.chars
chhiu,,,,鬚,,,,,,teochew.chars
