puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source
a-kong,,,,阿公,,,,爺爺,,teochew.khau_sek
a-kĩm,,,,阿妗,,,,舅母,,teochew.khau_sek
a-má,,,,阿媽,,,,奶奶,,teochew.khau_sek
a-ni,,,,阿嬭,,,,奶媽(面稱),,teochew.khau_sek
a-ni,,,,阿㜷,,,,奶媽(面稱),,teochew.khau_sek
a-sià,,,,阿舍,,,,富少,,teochew.khau_sek
a-sià,,,,阿舍,,,,官少,,teochew.khau_sek
a-âi,,,,阿姨,,,,媽媽,,teochew.khau_sek
a-âi,,,,阿𡟓,,,,媽媽,,teochew.khau_sek
ang-chiá,,,,翁姐,,,,夫妻,,teochew.khau_sek
ang-chiá-kiáⁿ,,,,翁姐囝,,,,小兩口,,teochew.khau_sek
aú-ueh,,,,嘔噦,,,,嘔吐,,teochew.khau_sek
bà-gê,,,,䶕牙,,,,齙牙,,teochew.khau_sek
bóu,,,,母,,,,老婆,,teochew.khau_sek
bóu,,,,𡚸,,,,老婆,,teochew.khau_sek
bóu,,,,𡜿,,,,老婆,,teochew.khau_sek
bô-hẽng,,,,無行,,,,缺德,,teochew.khau_sek
bô-tèng-ēng,,,,無中用,,,,不中用,,teochew.khau_sek
bùi,,,,痱,,,,痱子,,teochew.khau_sek
bûe-ne̍k,,,,脢肉,,,,裏脊肉,,teochew.khau_sek
chheⁿ-hūn-nâng,,,,生分儂,,,,陌生人,,teochew.khau_sek
chheⁿ-hūn-nâng,,,,生份儂,,,,陌生人,,teochew.khau_sek
chheⁿ-mêⁿ,,,,青盲,,,,瞎,,teochew.khau_sek
chhiah-ne̍k,,,,赤肉,,,,瘦肉,,teochew.khau_sek
chhieh-mûeⁿ,,,,淖糜,,,,稀粥,,teochew.khau_sek
chhin-chiãⁿ,,,,親情,,,,親戚,,teochew.khau_sek
chia̍h-chek,,,,食積,,,,積食,,teochew.khau_sek
chia̍h-hun,,,,食薰,,,,抽菸,,teochew.khau_sek
chia̍h-keh,,,,食槅,,,,飯盒,,teochew.khau_sek
chia̍h-tsho,,,,食臊,,,,吃葷,,teochew.khau_sek
chiaⁿ-ne̍k,,,,腈肉,,,,瘦肉,,teochew.khau_sek
chià-phoh,,,,蔗粕,,,,甘蔗渣,,teochew.khau_sek
chiáu-mêⁿ,,,,雀暝,,,,夜盲,,teochew.khau_sek
chiáⁿ,,,,䭕,,,,(味)淡,,teochew.khau_sek
chèng-sêⁿ,,,,衝性,,,,發脾氣,,teochew.khau_sek
chì,,,,䭄,,,,(貪)吃,,teochew.khau_sek
gâu,,,,𠢕,,,,能幹,,teochew.khau_sek
gūa-ke,,,,外家,,,,娘家,,teochew.khau_sek
he̍k,,,,乏,,,,疲勞,,teochew.khau_sek
hiak-tie̍h-sú,,,,暍着暑,,,,中暑,,teochew.khau_sek
hiam-chie,,,,薟椒,,,,辣椒,,teochew.khau_sek
