puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,a-a-háu,a-a-háu,,,,cry (like a baby),,啞啞叫,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-a-kiò,a-a-kiò,,,,cry (like a baby),,啞啞叫,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-a-khàu,a-a-khàu,,,,cry (like a baby),,啞啞叫,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-bí-pa,a-bí-pa,,,,ameba,,阿米巴,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-bú,a-bú,,,,"mother, mama",,媽媽,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-bó,a-bó,,,,"mother, mama",,媽媽,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-cha,a-tsa,,,,"dirty, soiled",,髒,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-cham,a-tsam,,,,"dirty, soiled",,髒,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-ché,a-tsé,,,,sister (elder),,阿姊,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-chek,a-tsik,,,,uncle (father's younger brother),,叔叔,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-chek,a-tsik,,,,father (used to avoid making the spirits jealous),,爸爸,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-chí,a-tsí,,,,sister (elder),,阿姊,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-chím,a-tsím,,,,aunt (father's younger brother's wife),,嬸母,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-chiu,A-tsiu,,,,Asia,,亞洲,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-chó͘,a-tsóo,,,,great-grandparent (father's side),,曾祖父母,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-hê,a-hê,,,,"shrimp, Trachypenaeus asper",,亞蝦,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-hiaⁿ,a-hiann,,,,brother (elder),,哥哥,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-î,a-î,,,,aunt(mother's sister),,阿姨,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
