puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,A,A,,丫,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,阿,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,俹,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,亞,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,洼,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,椏,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,鴉,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,A,A,,啞,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,a,a,,壓,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,a,a,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,a,a,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,Á,Á,,阿,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,Á,Á,,瘂,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,Á,Á,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,á,á,,子,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,á,á,,也,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,á,á,,仔,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,á,á,,抑,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,á,á,,百,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,á,á,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,á,á,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
,,á,á,,,,,,,ChhoeTaigi > ChhoeTaigi_KamJitian
