puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,chi̍t[替],tsi̍t[替],,一,,,,一、全、規、壹、整個,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,it,it,,一,,,,一、壹,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,it-to-lióng-toān,it-to-lióng-tuān,,一刀兩斷,,,,一刀兩斷,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t-ē,tsi̍t-ē,,一下,,,,一、一下、得,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t goe̍h-ji̍t,tsi̍t gue̍h-ji̍t,,一月日,,,,一個月,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t ge̍h-li̍t,tsi̍t ge̍h-li̍t,,一月日,,,,一個月,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t-ji̍t-kàu-àm,tsi̍t-ji̍t-kàu-àm,,一日到暗,,,,一天到晚、從早到晚、整天,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t-li̍t-kàu-àm,tsi̍t-li̍t-kàu-àm,,一日到暗,,,,一天到晚、從早到晚、整天,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t-sì-lâng,tsi̍t-sì-lâng,,一世人,,,,一世、一生、一輩子、畢生、終身,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t-pòaⁿ,tsi̍t-puànn,,一半,,,,一半,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t-pòaⁿ-ê-á,tsi̍t-puànn-ê-á,,一半个仔,,,,一兩個,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t-pòaⁿ-ji̍t-á,tsi̍t-puànn-ji̍t-á,,一半日仔,,,,一兩天,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
