puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,á,á,,,,or,,或、或是、還是,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a,a,,,,a honorific prefix to names,,阿,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-chó͘,a-tsóo,,,,father's grandparents,,曾祖父（母）,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-chó͘,a-tsóo,,,,mother's grandparents,,曾祖父（母）,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-kong,a-kong,,,,,,爺爺、內祖父,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-kong,a-kong,,,,,,公公、外祖父,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-má,a-má,,,,,,奶奶、內祖母,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-mà,a-mà,,,,,,婆婆、外祖母,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-ko͘,a-koo,,,,,,姑姑、姑母,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ko͘-tiūⁿ,koo-tiūnn,,,,,,姑父,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-kū,a-kū,,,,,,舅舅、舅父,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-kīm,a-kīm,,,,,,舅母,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-î,a-î,,,,,,姨母,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,î-tiūⁿ,î-tiūnn,,,,,,姨父,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-peh,a-peh,,,,,,伯伯、伯父,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-ḿ,a-ḿ,,,,,,伯母,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-chek,a-tsik,,,,,,叔叔、叔父,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-chím,a-tsím,,,,,,嬸嬸、叔母,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-hiaⁿ,a-hiann,,,,,,哥哥,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-só,a-só,,,,,,嫂嫂,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-chiu,a-tsiu,,,,Asia.,,亞洲,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,a-phiàn,a-phiàn,,,,Opium,,鴉片,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,āⁿ,ānn,,,,bean-jam,,餡,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,àⁿ lo̍h-khì,ànn lo̍h-khì,,,,to stoop down,,彎腰、俯下去,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ah,ah,,,,a duck,,鴨,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ah-bú,ah-bú,,,,a duck,,母鴨,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ah-kang,ah-kang,,,,a drake,,公鴨,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ah-nn̄g,ah-nn̄g,,,,duck eggs,,鴨蛋,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ah-bah,ah-bah,,,,duck meat,,鴨肉,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ài,ài,,,,"to wish, desire, want, need, should, will, love, like, sign of future",,要、愛、喜歡,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
