puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,Giâ-kang-chháu,Giâ-kang-tsháu,,蜈蚣草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tó-té-giâ-kang,Tó-té-giâ-kang,,倒地蜈蚣,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tó-kî-lîn,Tó-kî-lîn,,倒麒麟,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tōe-giâ-kang,Tuē-giâ-kang,,地蜈蚣,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kè-lo-giâ-kang,Kè-lo-giâ-kang,,過路蜈蚣,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pit-tâng-chhiū,Pit-tâng-tshiū,,筆筒樹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Koàn-chiòng,Kuàn-tsiòng,,貫眾,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kut-chhùi-pò͘,Kut-tshuì-pòo,,骨碎補,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Káu-chit,Káu-tsit,,狗脊,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Lêng-lân-chháu,Lîng-lân-tsháu,,龍麟草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hōng-bé-chháu,Hōng-bé-tsháu,,鳳尾草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Soaⁿ-neh-kiau,Suann-neh-kiau,,山蕨猫,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hong-put-tōng,Hong-put-tōng,,風不動,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhiū-lêng,Tshiū-lîng,,樹龍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chio̍h-kiàm,Tsio̍h-kiàm,,石劍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bé-bé-si,Bé-bé-si,,馬尾絲,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hōng-bé-chháu,Hōng-bé-tsháu,,鳳尾草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Keh-niau,Keh-niau,,蕨猫,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Ké-kau-chhái,Ké-kau-tshái,,過溝菜,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Soaⁿ-ti-á-lān-hu̍t,Suann-ti-á-lān-hu̍t,,,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Thó͘-chhoan-nî,Thóo-tshuan-nî,,土川連,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hōng-bé-pit,Hōng-bé-pit,,鳳尾筆,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bé-bé-si,Bé-bé-si,,馬尾絲,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Ah-kha-pê,Ah-kha-pê,,鴨腳筢,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Ah-tôe-chháu,Ah-tuê-tsháu,,鴨蹄草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kim-chio̍h-úi,Kim-tsio̍h-uí,,金石韋,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Keh-niau-chháu,Keh-niau-tsháu,,蕨猫草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hōng-bé-chháu,Hōng-bé-tsháu,,鳳尾草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chíⁿ-piⁿ-chháu,Tsínn-pinn-tsháu,,井邊草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-khûn-chhái,Tsuí-khûn-tshái,,水芹菜,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Mng-á,Mng-á,,,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tiaⁿ-chhe-tîn,Tiann-tshe-tîn,,鼎炊藤,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tin-tiong-pit,Tin-tiong-pit,,珍中筆,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hōng-bé-chháu,Hōng-bé-tsháu,,鳳尾草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tiaⁿ-chhòe-tîn,Tiann-tshuè-tîn,,鼎刷藤,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sì-hio̍h-chhài,Sì-hio̍h-tshài,,四葉菜,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-iâm-sng,Tsuí-iâm-sng,,水鹽酸,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Khu-phiô,Khu-phiô,,丘萍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bo̍k-che̍k-chháu,Bo̍k-tsi̍k-tsháu,,木賊草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chiap-kut-tang,Tsiap-kut-tang,,接骨筒,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
