puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,siān-neh,siān-neh,,,,,,討厭,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sú-sū,sú-sū,,死侍,,,,死侍,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tiám-lu-êng-bō͘,tiám-lu-îng-bōo,,點攄螢幕,,,,觸控螢幕,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tōa-lâng chhōa gín-á khì chhit-thô,tuā-lâng tshuā gín-á khì tshit-thô,,,,,,大人帶小孩去玩耍,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,siá khó͘,siá khóo,,寫許,,,,寫程式,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,hia̍p-koh,hia̍p-koh,,拹閣,,,,黑客,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kip-sò,kip-sò,,急躁,,,,焦慮,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,pó-chhiⁿ-mo̍͘h,pó-tshinn-mo̍oh,,保鮮膜,,,,保鮮膜,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chúi-chheⁿ tò-thâu kiâⁿ,tsuí-tshenn tò-thâu kiânn,,水星倒頭行,,,,水逆,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhu-kiā,tshu-kiā,,趨崎,,,,滑坡,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tē-tāng-bóe,tē-tāng-bué,,地動尾,,,,餘震,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,góa bē-hiáu,guá bē-hiáu,,我袂曉,,,,我不會,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,phùi-that-á,phuì-that-á,,屁窒仔,,,,小屁孩,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,hiông-sam hui-tôaⁿ,hiông-sam hui-tuânn,,雄三飛彈,,,,雄三飛彈,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,o͘-pe̍h chhì,oo-pe̍h tshì,,烏白試,,,,亂試,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tōa-lia̍p-nn̄g,tuā-lia̍p-nn̄g,,大粒卵,,,,巨蛋,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chheⁿ-hoe,tshenn-hue,,青花,,,,青花菜,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhiⁿ-hoe,tshinn-hue,,青花,,,,青花菜,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,phō khì bong,phō khì bong,,抱去摸,,,,神奇寶貝,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chun-siú kui-kí,tsun-siú kui-kí,,遵守規矩,,,,遵守規矩,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhùi,tshuì,,喙,,,,口,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,ūi-cho-cho,uī-tso-tso,,胃慒慒,,,,胃不舒服,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sin-seⁿ-á,sin-senn-á,,新生仔,,,,新生兒,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,nn̄g-thah,nn̄g-thah,,卵塔,,,,蛋塔,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,khàu-iau,khàu-iau,,哭枵,,,,靠腰,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kha-chhiú bô chheng-khì,kha-tshiú bô tshing-khì,,跤手無清氣,,,,手腳不乾淨,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,ak-chak,ak-tsak,,齷齪,,,,煩,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Tâi-gí,Tâi-gí,,台語,,,,台語,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Tâi-gú,Tâi-gú,,台語,,,,台語,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Bân-lâm-gí,Bân-lâm-gí,,閩南語,,,,閩南語,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Bân-lâm-gú,Bân-lâm-gú,,閩南語,,,,閩南語,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lāu-thōe,lāu-thuē,,老傫,,,,老年癡呆症,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,pēⁿ-kiáⁿ,pēnn-kiánn,,病囝,,,,害喜,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,pīⁿ-kiáⁿ,pīnn-kiánn,,病囝,,,,害喜,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,cha-bó͘-kiáⁿ-chha̍t,tsa-bóo-kiánn-tsha̍t,,查某囝賊,,,,女兒賊,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,khàu-iau,khàu-iau,,哭枵,,,,靠腰,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kha-thâu-u,kha-thâu-u,,跤頭趺,,,,膝,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chù-siā,tsù-siā,,注射,,,,注射,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sí-gín-á-pó͘,sí-gín-á-póo,,死囡仔脯,,,,小屁孩,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chia̍h-pn̄g,tsia̍h-pn̄g,,食飯,,,,吃飯,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,āu-piah ê,āu-piah ê,,後壁的,,,,後面的,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kóng-pò͘ tiān-tâi,kóng-pòo tiān-tâi,,廣播電台,,,,廣播電台,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhùi-khí-thiàⁿ,tshuì-khí-thiànn,,喙齒疼,,,,牙痛,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Iâm-lô-chheⁿ,Iâm-lô-tshenn,,閻羅星,,,,冥王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Iâm-lô-chhiⁿ,Iâm-lô-tshinn,,閻羅星,,,,冥王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Má-chó͘-chheⁿ,Má-tsóo-tshenn,,媽祖星,,,,海王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Má-chó͘-chhiⁿ,Má-tsóo-tshinn,,媽祖星,,,,海王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Thiⁿ-kong-chheⁿ,Thinn-kong-tshenn,,天公星,,,,天王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Thiⁿ-kong-chhiⁿ,Thinn-kong-tshinn,,天公星,,,,天王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,thâu-chêng,thâu-tsîng,,頭前,,,,前面的,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,āu-bīn,āu-bīn,,後面,,,,後面的,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,góa ē-hiáu kóng,guá ē-hiáu kóng,,我會曉講,,,,我會說,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,phi̍h-phi̍h-chhoah,phi̍h-phi̍h-tshuah,,咇咇掣,,,,顫抖,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,siān-tauh-tauh,siān-tauh-tauh,,,,,,疲倦,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,e-phi-phi,e-phi-phi,,,,,,手機應用程式,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chúi-sò͘,tsúi-sòo,,水素,,,,氫,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,jı̍t-sò͘,jı̍t-sòo,,日素,,,,氦,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tiⁿ-sò͘,tinn-sòo,,甜素,,,,鈹,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,khó͘-sò͘,khóo-sòo,,苦素,,,,鎂,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lí hó,lí hó,,你好,,,,你好,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,iâm-sò͘,iâm-sòo,,鹽素,,,,氯,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
