puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,a¹,,,,亞,,,,,dieghv > dictionary
,a¹,,,,丫,,,,,dieghv > dictionary
,a¹,,,,椏,,,,,dieghv > dictionary
,a¹,,,,鴉,,,,,dieghv > dictionary
,a¹,,,,氬,,,,,dieghv > dictionary
,a¹,,,,錒,,,,,dieghv > dictionary
,a¹,,,,阿,,,,,dieghv > dictionary
,a²,,,,掗,,,,,dieghv > dictionary
,a³,,,,婭,,,,,dieghv > dictionary
,a³,,,,亞,,,,,dieghv > dictionary
,a³,,,,埡,,,,,dieghv > dictionary
,ah⁴,,,,鴨,,,,,dieghv > dictionary
,ah⁴,,,,押,,,,,dieghv > dictionary
,a⁶,,,,嗄,,,,,dieghv > dictionary
,a⁷,,,,阿,,,,,dieghv > dictionary
,ba¹,,,,巴,,,,,dieghv > dictionary
,ba¹,,,,叭,,,,,dieghv > dictionary
,ba¹,,,,疤,,,,,dieghv > dictionary
,ba¹,,,,扒,,,,,dieghv > dictionary
,ba¹,,,,芭,,,,,dieghv > dictionary
,ba¹,,,,葩,,,,,dieghv > dictionary
,ba¹,,,,豝,,,,,dieghv > dictionary
,ba¹,,,,鈀,,,,,dieghv > dictionary
,ba¹,,,,粑,,,,,dieghv > dictionary
,ba¹,,,,爸,,,,,dieghv > dictionary
,ba²,,,,把,,,,,dieghv > dictionary
,ba²,,,,靶,,,,,dieghv > dictionary
,ba²,,,,飽,,,,,dieghv > dictionary
,ba²,,,,欛,,,,,dieghv > dictionary
,ba³,,,,壩,,,,,dieghv > dictionary
,ba³,,,,灞,,,,,dieghv > dictionary
,ba³,,,,霸,,,,,dieghv > dictionary
,ba³,,,,豹,,,,,dieghv > dictionary
,ba³,,,,趵,,,,,dieghv > dictionary
,ba⁶,,,,罷,,,,,dieghv > dictionary
,ba⁷,,,,吧,,,,,dieghv > dictionary
,pa¹,,,,脬,,,,,dieghv > dictionary
,pa¹,,,,趴,,,,,dieghv > dictionary
,pah⁴,,,,啪,,,,,dieghv > dictionary
,pah⁴,,,,打,,,,,dieghv > dictionary
,pah⁴,,,,拍,,,,,dieghv > dictionary
,pa⁶,,,,泡,,,,,dieghv > dictionary
,da²,,,,打,,,,,dieghv > dictionary
,da²,,,,咑,,,,,dieghv > dictionary
,dah⁴,,,,搭,,,,,dieghv > dictionary
,dah⁴,,,,遢,,,,,dieghv > dictionary
,dah⁴,,,,褡,,,,,dieghv > dictionary
,dah⁴,,,,耷,,,,,dieghv > dictionary
,dah⁴,,,,䐛,,,,,dieghv > dictionary
,da⁵,,,,禾,,,,,dieghv > dictionary
,dah⁸,,,,踏,,,,,dieghv > dictionary
,dah⁸,,,,遝,,,,,dieghv > dictionary
,dah⁸,,,,沓,,,,,dieghv > dictionary
,ta¹,,,,他,,,,,dieghv > dictionary
,ta¹,,,,它,,,,,dieghv > dictionary
,ta¹,,,,她,,,,,dieghv > dictionary
,ta¹,,,,鉈,,,,,dieghv > dictionary
,ta¹,,,,怹,,,,,dieghv > dictionary
,tah⁴,,,,趿,,,,,dieghv > dictionary
,tah⁴,,,,塔,,,,,dieghv > dictionary
,tah⁸,,,,疊,,,,,dieghv > dictionary
,la¹,,,,剌,,,,,dieghv > dictionary
,la¹,,,,喇,,,,,dieghv > dictionary
,la¹,,,,啦,,,,,dieghv > dictionary
,la¹,,,,嘞,,,,,dieghv > dictionary
,la¹,,,,垃,,,,,dieghv > dictionary
,la¹,,,,拉,,,,,dieghv > dictionary
,la¹,,,,旯,,,,,dieghv > dictionary
,la¹,,,,鞡,,,,,dieghv > dictionary
,lah⁴,,,,瘌,,,,,dieghv > dictionary
,lah⁴,,,,擸,,,,,dieghv > dictionary
,lah⁴,,,,邋,,,,,dieghv > dictionary
,la⁵,,,,朥,,,,,dieghv > dictionary
,lah⁸,,,,鬣,,,,,dieghv > dictionary
,lah⁸,,,,獵,,,,,dieghv > dictionary
,lah⁸,,,,蠟,,,,,dieghv > dictionary
,lah⁸,,,,躐,,,,,dieghv > dictionary
,lah⁸,,,,臘,,,,,dieghv > dictionary
,lah⁸,,,,辣,,,,,dieghv > dictionary
,lah⁸,,,,鑞,,,,,dieghv > dictionary
,ga¹,,,,膠,,,,,dieghv > dictionary
,ga¹,,,,虼,,,,,dieghv > dictionary
,ga²,,,,絞,,,,,dieghv > dictionary
,ga²,,,,鉸,,,,,dieghv > dictionary
,ga³,,,,教,,,,,dieghv > dictionary
,ga³,,,,校,,,,,dieghv > dictionary
,ga³,,,,窖,,,,,dieghv > dictionary
,ga³,,,,較,,,,,dieghv > dictionary
,ga³,,,,玍,,,,,dieghv > dictionary
,ga³,,,,尕,,,,,dieghv > dictionary
,gah⁴,,,,甲,,,,,dieghv > dictionary
,gah⁴,,,,岬,,,,,dieghv > dictionary
,gah⁴,,,,胛,,,,,dieghv > dictionary
,gah⁴,,,,鉀,,,,,dieghv > dictionary
,ga⁶,,,,咬,,,,,dieghv > dictionary
,ga⁷,,,,咬,,,,,dieghv > dictionary
,ka¹,,,,腳,,,,,dieghv > dictionary
,ka²,,,,巧,,,,,dieghv > dictionary
,ka²,,,,豈,,,,,dieghv > dictionary
,ka²,,,,卡,,,,,dieghv > dictionary
,ka²,,,,咔,,,,,dieghv > dictionary
,ka²,,,,佧,,,,,dieghv > dictionary
,ka³,,,,扣,釦,,,,dieghv > dictionary
,ka³,,,,叩,,,,,dieghv > dictionary
,ha¹,,,,哈,,,,,dieghv > dictionary
,ha³,,,,孝,,,,,dieghv > dictionary
,hah⁴,,,,哈,,,,,dieghv > dictionary
,hah⁴,,,,餄,,,,,dieghv > dictionary
,hah⁴,,,,瓣,,,,,dieghv > dictionary
,hah⁸,,,,合,,,,,dieghv > dictionary
,hah⁸,,,,鉿,,,,,dieghv > dictionary
,za¹,,,,咱,,,,,dieghv > dictionary
,za¹,,,,咤,吒,,,,dieghv > dictionary
,za¹,,,,嗟,,,,,dieghv > dictionary
,za¹,,,,喳,,,,,dieghv > dictionary
,za¹,,,,揸,,,,,dieghv > dictionary
,za¹,,,,槎,茬,,,,dieghv > dictionary
,za¹,,,,查,,,,,dieghv > dictionary
,za¹,,,,楂,,,,,dieghv > dictionary
,za¹,,,,猹,,,,,dieghv > dictionary
,za¹,,,,侘,,,,,dieghv > dictionary
,za¹,,,,碴,,,,,dieghv > dictionary
,za¹,,,,渣,,,,,dieghv > dictionary
,za¹,,,,溠,,,,,dieghv > dictionary
,za¹,,,,瘥,,,,,dieghv > dictionary
,za¹,,,,皻,齇,,,,dieghv > dictionary
,za¹,,,,餷,,,,,dieghv > dictionary
,za¹,,,,蹉,,,,,dieghv > dictionary
,za¹,,,,髽,,,,,dieghv > dictionary
,za²,,,,蚤,,,,,dieghv > dictionary
,za²,,,,早,,,,,dieghv > dictionary
,za²,,,,昔,,,,,dieghv > dictionary
,za²,,,,昨,,,,,dieghv > dictionary
,za²,,,,痄,,,,,dieghv > dictionary
,za³,,,,乍,,,,,dieghv > dictionary
,za³,,,,咋,,,,,dieghv > dictionary
,za³,,,,怍,,,,,dieghv > dictionary
,za³,,,,怎,,,,,dieghv > dictionary
,za³,,,,榨,搾,,,,dieghv > dictionary
,za³,,,,窄,,,,,dieghv > dictionary
,za³,,,,炸,,,,,dieghv > dictionary
,za³,,,,柞,,,,,dieghv > dictionary
,za³,,,,蚱,,,,,dieghv > dictionary
,za³,,,,砟,,,,,dieghv > dictionary
,za³,,,,詐,,,,,dieghv > dictionary
,za³,,,,鮓,,,,,dieghv > dictionary
,zah⁴,,,,𠷿,,,,,dieghv > dictionary
,zah⁸,,,,卡,,,,,dieghv > dictionary
,zah⁸,,,,柵,,,,,dieghv > dictionary
,zah⁸,,,,炸,,,,,dieghv > dictionary
,zah⁸,,,,閘,,,,,dieghv > dictionary
,ca¹,,,,差,,,,,dieghv > dictionary
,ca¹,,,,岔,,,,,dieghv > dictionary
,ca¹,,,,嵯,,,,,dieghv > dictionary
,ca¹,,,,搓,,,,,dieghv > dictionary
,ca¹,,,,叉,,,,,dieghv > dictionary
,ca¹,,,,衩,,,,,dieghv > dictionary
,ca¹,,,,杈,,,,,dieghv > dictionary
,ca¹,,,,䟕,,,,,dieghv > dictionary
,ca¹,,,,汊,,,,,dieghv > dictionary
,ca²,,,,炒,,,,,dieghv > dictionary
,ca³,,,,詫,,,,,dieghv > dictionary
,ca³,,,,蹅,,,,,dieghv > dictionary
,ca³,,,,礤,,,,,dieghv > dictionary
,ca³,,,,姹,奼,,,,dieghv > dictionary
,ca³,,,,仛,,,,,dieghv > dictionary
,cah⁴,,,,插,,,,,dieghv > dictionary
,cah⁴,,,,歃,,,,,dieghv > dictionary
,cah⁴,,,,臿,,,,,dieghv > dictionary
,cah⁴,,,,鍤,,,,,dieghv > dictionary
,ca⁵,,,,柴,,,,,dieghv > dictionary
,ca⁵,,,,垞,,,,,dieghv > dictionary
,sa¹,,,,沙,,,,,dieghv > dictionary
,sa¹,,,,筲,,,,,dieghv > dictionary
,sa¹,,,,莎,,,,,dieghv > dictionary
,sa³,,,,撒,,,,,dieghv > dictionary
,sa⁶,,,,傻,,,,,dieghv > dictionary
,sa⁶,,,,啥,,,,,dieghv > dictionary
,o¹,,,,窩,,,,,dieghv > dictionary
,o¹,,,,噢,,,,,dieghv > dictionary
,o¹,,,,啊,,,,,dieghv > dictionary
