puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,a¹,,,,亞,,,,,dieghv > dieziu.dict
,a¹,,,,丫,,,,,dieghv > dieziu.dict
,a¹,,,,椏,,,,,dieghv > dieziu.dict
,a¹,,,,鴉,,,,,dieghv > dieziu.dict
,a¹,,,,氬,,,,,dieghv > dieziu.dict
,a¹,,,,錒,,,,,dieghv > dieziu.dict
,a¹,,,,阿,,,,,dieghv > dieziu.dict
,a²,,,,掗,,,,,dieghv > dieziu.dict
,a³,,,,婭,,,,,dieghv > dieziu.dict
,a³,,,,亞,,,,,dieghv > dieziu.dict
,a³,,,,埡,,,,,dieghv > dieziu.dict
,ah⁴,,,,鴨,,,,,dieghv > dieziu.dict
,ah⁴,,,,押,,,,,dieghv > dieziu.dict
,a⁶,,,,嗄,,,,,dieghv > dieziu.dict
,a⁷,,,,阿,,,,,dieghv > dieziu.dict
,ba¹,,,,巴,,,,,dieghv > dieziu.dict
,ba¹,,,,叭,,,,,dieghv > dieziu.dict
,ba¹,,,,疤,,,,,dieghv > dieziu.dict
,ba¹,,,,扒,,,,,dieghv > dieziu.dict
,ba¹,,,,芭,,,,,dieghv > dieziu.dict
,ba¹,,,,葩,,,,,dieghv > dieziu.dict
,ba¹,,,,豝,,,,,dieghv > dieziu.dict
,ba¹,,,,鈀,,,,,dieghv > dieziu.dict
,ba¹,,,,粑,,,,,dieghv > dieziu.dict
,ba¹,,,,爸,,,,,dieghv > dieziu.dict
,ba²,,,,把,,,,,dieghv > dieziu.dict
,ba²,,,,靶,,,,,dieghv > dieziu.dict
,ba²,,,,飽,,,,,dieghv > dieziu.dict
,ba²,,,,欛,,,,,dieghv > dieziu.dict
,ba³,,,,壩,,,,,dieghv > dieziu.dict
,ba³,,,,灞,,,,,dieghv > dieziu.dict
,ba³,,,,霸,,,,,dieghv > dieziu.dict
,ba³,,,,豹,,,,,dieghv > dieziu.dict
,ba³,,,,趵,,,,,dieghv > dieziu.dict
,ba⁶,,,,罷,,,,,dieghv > dieziu.dict
,ba⁷,,,,吧,,,,,dieghv > dieziu.dict
,pa¹,,,,脬,,,,,dieghv > dieziu.dict
,pa¹,,,,趴,,,,,dieghv > dieziu.dict
,pah⁴,,,,啪,,,,,dieghv > dieziu.dict
,pah⁴,,,,打,,,,,dieghv > dieziu.dict
,pah⁴,,,,拍,,,,,dieghv > dieziu.dict
,pa⁶,,,,泡,,,,,dieghv > dieziu.dict
,da²,,,,打,,,,,dieghv > dieziu.dict
,da²,,,,咑,,,,,dieghv > dieziu.dict
,dah⁴,,,,搭,,,,,dieghv > dieziu.dict
,dah⁴,,,,遢,,,,,dieghv > dieziu.dict
,dah⁴,,,,褡,,,,,dieghv > dieziu.dict
,dah⁴,,,,耷,,,,,dieghv > dieziu.dict
,dah⁴,,,,䐛,,,,,dieghv > dieziu.dict
,da⁵,,,,禾,,,,,dieghv > dieziu.dict
,dah⁸,,,,踏,,,,,dieghv > dieziu.dict
,dah⁸,,,,遝,,,,,dieghv > dieziu.dict
,dah⁸,,,,沓,,,,,dieghv > dieziu.dict
,ta¹,,,,他,,,,,dieghv > dieziu.dict
,ta¹,,,,它,,,,,dieghv > dieziu.dict
,ta¹,,,,她,,,,,dieghv > dieziu.dict
,ta¹,,,,鉈,,,,,dieghv > dieziu.dict
,ta¹,,,,怹,,,,,dieghv > dieziu.dict
,tah⁴,,,,趿,,,,,dieghv > dieziu.dict
,tah⁴,,,,塔,,,,,dieghv > dieziu.dict
