puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,a¹,,,,亞,,,,,dieghv > dioion.dict
,a¹,,,,丫,,,,,dieghv > dioion.dict
,a¹,,,,椏,,,,,dieghv > dioion.dict
,a¹,,,,鴉,,,,,dieghv > dioion.dict
,a¹,,,,氬,,,,,dieghv > dioion.dict
,a¹,,,,錒,,,,,dieghv > dioion.dict
,a¹,,,,阿,,,,,dieghv > dioion.dict
,a²,,,,掗,,,,,dieghv > dioion.dict
,a³,,,,婭,,,,,dieghv > dioion.dict
,a³,,,,亞,,,,,dieghv > dioion.dict
,a³,,,,埡,,,,,dieghv > dioion.dict
,ah⁴,,,,鴨,,,,,dieghv > dioion.dict
,ah⁴,,,,押,,,,,dieghv > dioion.dict
,a⁶,,,,嗄,,,,,dieghv > dioion.dict
,a⁷,,,,阿,,,,,dieghv > dioion.dict
,ba¹,,,,巴,,,,,dieghv > dioion.dict
,ba¹,,,,叭,,,,,dieghv > dioion.dict
,ba¹,,,,疤,,,,,dieghv > dioion.dict
,ba¹,,,,扒,,,,,dieghv > dioion.dict
,ba¹,,,,芭,,,,,dieghv > dioion.dict
,ba¹,,,,葩,,,,,dieghv > dioion.dict
,ba¹,,,,豝,,,,,dieghv > dioion.dict
,ba¹,,,,鈀,,,,,dieghv > dioion.dict
,ba¹,,,,粑,,,,,dieghv > dioion.dict
,ba¹,,,,爸,,,,,dieghv > dioion.dict
,ba²,,,,把,,,,,dieghv > dioion.dict
,ba²,,,,靶,,,,,dieghv > dioion.dict
,ba²,,,,飽,,,,,dieghv > dioion.dict
,ba²,,,,欛,,,,,dieghv > dioion.dict
,ba³,,,,壩,,,,,dieghv > dioion.dict
,ba³,,,,灞,,,,,dieghv > dioion.dict
,ba³,,,,霸,,,,,dieghv > dioion.dict
,ba³,,,,豹,,,,,dieghv > dioion.dict
,ba³,,,,趵,,,,,dieghv > dioion.dict
,ba⁶,,,,罷,,,,,dieghv > dioion.dict
,ba⁷,,,,吧,,,,,dieghv > dioion.dict
,pa¹,,,,脬,,,,,dieghv > dioion.dict
,pa¹,,,,趴,,,,,dieghv > dioion.dict
,pah⁴,,,,啪,,,,,dieghv > dioion.dict
,pah⁴,,,,打,,,,,dieghv > dioion.dict
,pah⁴,,,,拍,,,,,dieghv > dioion.dict
,pa⁶,,,,泡,,,,,dieghv > dioion.dict
,da²,,,,打,,,,,dieghv > dioion.dict
,da²,,,,咑,,,,,dieghv > dioion.dict
,dah⁴,,,,搭,,,,,dieghv > dioion.dict
,dah⁴,,,,遢,,,,,dieghv > dioion.dict
,dah⁴,,,,褡,,,,,dieghv > dioion.dict
,dah⁴,,,,耷,,,,,dieghv > dioion.dict
,dah⁴,,,,䐛,,,,,dieghv > dioion.dict
,da⁵,,,,禾,,,,,dieghv > dioion.dict
,dah⁸,,,,踏,,,,,dieghv > dioion.dict
,dah⁸,,,,遝,,,,,dieghv > dioion.dict
,dah⁸,,,,沓,,,,,dieghv > dioion.dict
,ta¹,,,,他,,,,,dieghv > dioion.dict
