puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,a¹,,,,亞,,,,,dieghv > gekion.dict
,a¹,,,,丫,,,,,dieghv > gekion.dict
,a¹,,,,椏,,,,,dieghv > gekion.dict
,a¹,,,,鴉,,,,,dieghv > gekion.dict
,a¹,,,,氬,,,,,dieghv > gekion.dict
,a¹,,,,錒,,,,,dieghv > gekion.dict
,a¹,,,,阿,,,,,dieghv > gekion.dict
,a²,,,,掗,,,,,dieghv > gekion.dict
,a³,,,,婭,,,,,dieghv > gekion.dict
,a³,,,,亞,,,,,dieghv > gekion.dict
,a³,,,,埡,,,,,dieghv > gekion.dict
,ah⁴,,,,鴨,,,,,dieghv > gekion.dict
,ah⁴,,,,押,,,,,dieghv > gekion.dict
,a⁶,,,,嗄,,,,,dieghv > gekion.dict
,a⁷,,,,阿,,,,,dieghv > gekion.dict
,ba¹,,,,巴,,,,,dieghv > gekion.dict
,ba¹,,,,叭,,,,,dieghv > gekion.dict
,ba¹,,,,疤,,,,,dieghv > gekion.dict
,ba¹,,,,扒,,,,,dieghv > gekion.dict
,ba¹,,,,芭,,,,,dieghv > gekion.dict
,ba¹,,,,葩,,,,,dieghv > gekion.dict
,ba¹,,,,豝,,,,,dieghv > gekion.dict
,ba¹,,,,鈀,,,,,dieghv > gekion.dict
,ba¹,,,,粑,,,,,dieghv > gekion.dict
,ba¹,,,,爸,,,,,dieghv > gekion.dict
,ba²,,,,把,,,,,dieghv > gekion.dict
,ba²,,,,靶,,,,,dieghv > gekion.dict
,ba²,,,,飽,,,,,dieghv > gekion.dict
,ba²,,,,欛,,,,,dieghv > gekion.dict
,ba³,,,,壩,,,,,dieghv > gekion.dict
,ba³,,,,灞,,,,,dieghv > gekion.dict
,ba³,,,,霸,,,,,dieghv > gekion.dict
,ba³,,,,豹,,,,,dieghv > gekion.dict
,ba³,,,,趵,,,,,dieghv > gekion.dict
,ba⁶,,,,罷,,,,,dieghv > gekion.dict
,ba⁷,,,,吧,,,,,dieghv > gekion.dict
,pa¹,,,,脬,,,,,dieghv > gekion.dict
,pa¹,,,,趴,,,,,dieghv > gekion.dict
,pah⁴,,,,啪,,,,,dieghv > gekion.dict
,pah⁴,,,,打,,,,,dieghv > gekion.dict
,pah⁴,,,,拍,,,,,dieghv > gekion.dict
,pa⁶,,,,泡,,,,,dieghv > gekion.dict
,da²,,,,打,,,,,dieghv > gekion.dict
,da²,,,,咑,,,,,dieghv > gekion.dict
,dah⁴,,,,搭,,,,,dieghv > gekion.dict
,dah⁴,,,,遢,,,,,dieghv > gekion.dict
,dah⁴,,,,褡,,,,,dieghv > gekion.dict
,dah⁴,,,,耷,,,,,dieghv > gekion.dict
,dah⁴,,,,䐛,,,,,dieghv > gekion.dict
,da⁵,,,,禾,,,,,dieghv > gekion.dict
,dah⁸,,,,踏,,,,,dieghv > gekion.dict
,dah⁸,,,,遝,,,,,dieghv > gekion.dict
,dah⁸,,,,沓,,,,,dieghv > gekion.dict
,ta¹,,,,他,,,,,dieghv > gekion.dict
,ta¹,,,,它,,,,,dieghv > gekion.dict
,ta¹,,,,她,,,,,dieghv > gekion.dict
,ta¹,,,,鉈,,,,,dieghv > gekion.dict
,ta¹,,,,怹,,,,,dieghv > gekion.dict
,tah⁴,,,,趿,,,,,dieghv > gekion.dict
,tah⁴,,,,塔,,,,,dieghv > gekion.dict
,tah⁸,,,,疊,,,,,dieghv > gekion.dict
,la¹,,,,剌,,,,,dieghv > gekion.dict
,la¹,,,,喇,,,,,dieghv > gekion.dict
,la¹,,,,啦,,,,,dieghv > gekion.dict
,la¹,,,,嘞,,,,,dieghv > gekion.dict
,la¹,,,,垃,,,,,dieghv > gekion.dict
,la¹,,,,拉,,,,,dieghv > gekion.dict
,la¹,,,,旯,,,,,dieghv > gekion.dict
,la¹,,,,鞡,,,,,dieghv > gekion.dict
,lah⁴,,,,瘌,,,,,dieghv > gekion.dict
,lah⁴,,,,擸,,,,,dieghv > gekion.dict
,lah⁴,,,,邋,,,,,dieghv > gekion.dict
,la⁵,,,,朥,,,,,dieghv > gekion.dict
,lah⁸,,,,鬣,,,,,dieghv > gekion.dict
,lah⁸,,,,獵,,,,,dieghv > gekion.dict
,lah⁸,,,,蠟,,,,,dieghv > gekion.dict
,lah⁸,,,,躐,,,,,dieghv > gekion.dict
,lah⁸,,,,臘,,,,,dieghv > gekion.dict
,lah⁸,,,,辣,,,,,dieghv > gekion.dict
,lah⁸,,,,鑞,,,,,dieghv > gekion.dict
,ga¹,,,,膠,,,,,dieghv > gekion.dict
,ga¹,,,,虼,,,,,dieghv > gekion.dict
,ga²,,,,絞,,,,,dieghv > gekion.dict
,ga²,,,,鉸,,,,,dieghv > gekion.dict
,ga³,,,,教,,,,,dieghv > gekion.dict
,ga³,,,,校,,,,,dieghv > gekion.dict
,ga³,,,,窖,,,,,dieghv > gekion.dict
,ga³,,,,較,,,,,dieghv > gekion.dict
,ga³,,,,玍,,,,,dieghv > gekion.dict
,ga³,,,,尕,,,,,dieghv > gekion.dict
,gah⁴,,,,甲,,,,,dieghv > gekion.dict
,gah⁴,,,,岬,,,,,dieghv > gekion.dict
,gah⁴,,,,胛,,,,,dieghv > gekion.dict
,gah⁴,,,,鉀,,,,,dieghv > gekion.dict
,ga⁶,,,,咬,,,,,dieghv > gekion.dict
,ga⁷,,,,咬,,,,,dieghv > gekion.dict
,ka¹,,,,腳,,,,,dieghv > gekion.dict
,ka²,,,,巧,,,,,dieghv > gekion.dict
,ka²,,,,豈,,,,,dieghv > gekion.dict
,ka²,,,,卡,,,,,dieghv > gekion.dict
,ka²,,,,咔,,,,,dieghv > gekion.dict
,ka²,,,,佧,,,,,dieghv > gekion.dict
,ka³,,,,扣,,,,,dieghv > gekion.dict
,ka³,,,,釦,,,,,dieghv > gekion.dict
,ka³,,,,叩,,,,,dieghv > gekion.dict
,ha¹,,,,哈,,,,,dieghv > gekion.dict
,ha³,,,,孝,,,,,dieghv > gekion.dict
,hah⁴,,,,哈,,,,,dieghv > gekion.dict
,hah⁴,,,,餄,,,,,dieghv > gekion.dict
,hah⁴,,,,瓣,,,,,dieghv > gekion.dict
,hah⁸,,,,合,,,,,dieghv > gekion.dict
,hah⁸,,,,鉿,,,,,dieghv > gekion.dict
,za¹,,,,咱,,,,,dieghv > gekion.dict
,za¹,,,,咤,,,,,dieghv > gekion.dict
,za¹,,,,吒,,,,,dieghv > gekion.dict
,za¹,,,,嗟,,,,,dieghv > gekion.dict
,za¹,,,,喳,,,,,dieghv > gekion.dict
,za¹,,,,揸,,,,,dieghv > gekion.dict
,za¹,,,,槎,,,,,dieghv > gekion.dict
,za¹,,,,茬,,,,,dieghv > gekion.dict
,za¹,,,,查,,,,,dieghv > gekion.dict
,za¹,,,,楂,,,,,dieghv > gekion.dict
,za¹,,,,猹,,,,,dieghv > gekion.dict
,za¹,,,,侘,,,,,dieghv > gekion.dict
,za¹,,,,碴,,,,,dieghv > gekion.dict
,za¹,,,,渣,,,,,dieghv > gekion.dict
,za¹,,,,溠,,,,,dieghv > gekion.dict
,za¹,,,,瘥,,,,,dieghv > gekion.dict
,za¹,,,,皻,,,,,dieghv > gekion.dict
,za¹,,,,齇,,,,,dieghv > gekion.dict
,za¹,,,,餷,,,,,dieghv > gekion.dict
,za¹,,,,蹉,,,,,dieghv > gekion.dict
,za¹,,,,髽,,,,,dieghv > gekion.dict
,za²,,,,蚤,,,,,dieghv > gekion.dict
,za²,,,,早,,,,,dieghv > gekion.dict
,za²,,,,昔,,,,,dieghv > gekion.dict
,za²,,,,昨,,,,,dieghv > gekion.dict
,za²,,,,痄,,,,,dieghv > gekion.dict
,za³,,,,乍,,,,,dieghv > gekion.dict
,za³,,,,咋,,,,,dieghv > gekion.dict
,za³,,,,怍,,,,,dieghv > gekion.dict
,za³,,,,怎,,,,,dieghv > gekion.dict
,za³,,,,榨,,,,,dieghv > gekion.dict
,za³,,,,搾,,,,,dieghv > gekion.dict
,za³,,,,窄,,,,,dieghv > gekion.dict
,za³,,,,炸,,,,,dieghv > gekion.dict
,za³,,,,柞,,,,,dieghv > gekion.dict
