puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,a¹,,,,亞,,,,,dieghv > riaupeng.dict
,a¹,,,,丫,,,,,dieghv > riaupeng.dict
,a¹,,,,椏,,,,,dieghv > riaupeng.dict
,a¹,,,,鴉,,,,,dieghv > riaupeng.dict
,a¹,,,,氬,,,,,dieghv > riaupeng.dict
,a¹,,,,錒,,,,,dieghv > riaupeng.dict
,a¹,,,,阿,,,,,dieghv > riaupeng.dict
,a²,,,,掗,,,,,dieghv > riaupeng.dict
,a³,,,,婭,,,,,dieghv > riaupeng.dict
,a³,,,,亞,,,,,dieghv > riaupeng.dict
,a³,,,,埡,,,,,dieghv > riaupeng.dict
,ah⁴,,,,鴨,,,,,dieghv > riaupeng.dict
,ah⁴,,,,押,,,,,dieghv > riaupeng.dict
,a⁶,,,,嗄,,,,,dieghv > riaupeng.dict
,a⁷,,,,阿,,,,,dieghv > riaupeng.dict
,ba¹,,,,巴,,,,,dieghv > riaupeng.dict
,ba¹,,,,叭,,,,,dieghv > riaupeng.dict
,ba¹,,,,疤,,,,,dieghv > riaupeng.dict
,ba¹,,,,扒,,,,,dieghv > riaupeng.dict
,ba¹,,,,芭,,,,,dieghv > riaupeng.dict
,ba¹,,,,葩,,,,,dieghv > riaupeng.dict
,ba¹,,,,豝,,,,,dieghv > riaupeng.dict
,ba¹,,,,鈀,,,,,dieghv > riaupeng.dict
,ba¹,,,,粑,,,,,dieghv > riaupeng.dict
,ba¹,,,,爸,,,,,dieghv > riaupeng.dict
,ba²,,,,把,,,,,dieghv > riaupeng.dict
,ba²,,,,靶,,,,,dieghv > riaupeng.dict
,ba²,,,,飽,,,,,dieghv > riaupeng.dict
,ba²,,,,欛,,,,,dieghv > riaupeng.dict
,ba³,,,,壩,,,,,dieghv > riaupeng.dict
,ba³,,,,灞,,,,,dieghv > riaupeng.dict
,ba³,,,,霸,,,,,dieghv > riaupeng.dict
,ba³,,,,豹,,,,,dieghv > riaupeng.dict
,ba³,,,,趵,,,,,dieghv > riaupeng.dict
,ba⁶,,,,罷,,,,,dieghv > riaupeng.dict
,ba⁷,,,,吧,,,,,dieghv > riaupeng.dict
,pa¹,,,,脬,,,,,dieghv > riaupeng.dict
,pa¹,,,,趴,,,,,dieghv > riaupeng.dict
,pah⁴,,,,啪,,,,,dieghv > riaupeng.dict
,pah⁴,,,,打,,,,,dieghv > riaupeng.dict
,pah⁴,,,,拍,,,,,dieghv > riaupeng.dict
,pa⁶,,,,泡,,,,,dieghv > riaupeng.dict
,da²,,,,打,,,,,dieghv > riaupeng.dict
,da²,,,,咑,,,,,dieghv > riaupeng.dict
,dah⁴,,,,搭,,,,,dieghv > riaupeng.dict
,dah⁴,,,,遢,,,,,dieghv > riaupeng.dict
,dah⁴,,,,褡,,,,,dieghv > riaupeng.dict
,dah⁴,,,,耷,,,,,dieghv > riaupeng.dict
,dah⁴,,,,䐛,,,,,dieghv > riaupeng.dict
,da⁵,,,,禾,,,,,dieghv > riaupeng.dict
,dah⁸,,,,踏,,,,,dieghv > riaupeng.dict
,dah⁸,,,,遝,,,,,dieghv > riaupeng.dict
,dah⁸,,,,沓,,,,,dieghv > riaupeng.dict
,ta¹,,,,他,,,,,dieghv > riaupeng.dict
,ta¹,,,,它,,,,,dieghv > riaupeng.dict
