puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,a¹,,,,亞,,,,,dieghv > suantau.dict
,a¹,,,,丫,,,,,dieghv > suantau.dict
,a¹,,,,椏,,,,,dieghv > suantau.dict
,a¹,,,,鴉,,,,,dieghv > suantau.dict
,a¹,,,,氬,,,,,dieghv > suantau.dict
,a¹,,,,錒,,,,,dieghv > suantau.dict
,a¹,,,,阿,,,,,dieghv > suantau.dict
,a²,,,,掗,,,,,dieghv > suantau.dict
,a³,,,,婭,,,,,dieghv > suantau.dict
,a³,,,,亞,,,,,dieghv > suantau.dict
,a³,,,,埡,,,,,dieghv > suantau.dict
,ah⁴,,,,鴨,,,,,dieghv > suantau.dict
,ah⁴,,,,押,,,,,dieghv > suantau.dict
,a⁶,,,,嗄,,,,,dieghv > suantau.dict
,a⁷,,,,阿,,,,,dieghv > suantau.dict
,ba¹,,,,巴,,,,,dieghv > suantau.dict
,ba¹,,,,叭,,,,,dieghv > suantau.dict
,ba¹,,,,疤,,,,,dieghv > suantau.dict
,ba¹,,,,扒,,,,,dieghv > suantau.dict
,ba¹,,,,芭,,,,,dieghv > suantau.dict
,ba¹,,,,葩,,,,,dieghv > suantau.dict
,ba¹,,,,豝,,,,,dieghv > suantau.dict
,ba¹,,,,鈀,,,,,dieghv > suantau.dict
,ba¹,,,,粑,,,,,dieghv > suantau.dict
,ba¹,,,,爸,,,,,dieghv > suantau.dict
,ba²,,,,把,,,,,dieghv > suantau.dict
,ba²,,,,靶,,,,,dieghv > suantau.dict
,ba²,,,,飽,,,,,dieghv > suantau.dict
,ba²,,,,欛,,,,,dieghv > suantau.dict
,ba³,,,,壩,,,,,dieghv > suantau.dict
,ba³,,,,灞,,,,,dieghv > suantau.dict
,ba³,,,,霸,,,,,dieghv > suantau.dict
,ba³,,,,豹,,,,,dieghv > suantau.dict
,ba³,,,,趵,,,,,dieghv > suantau.dict
,ba⁶,,,,罷,,,,,dieghv > suantau.dict
,ba⁷,,,,吧,,,,,dieghv > suantau.dict
,pa¹,,,,脬,,,,,dieghv > suantau.dict
,pa¹,,,,趴,,,,,dieghv > suantau.dict
,pah⁴,,,,啪,,,,,dieghv > suantau.dict
,pah⁴,,,,打,,,,,dieghv > suantau.dict
,pah⁴,,,,拍,,,,,dieghv > suantau.dict
,pa⁶,,,,泡,,,,,dieghv > suantau.dict
,da²,,,,打,,,,,dieghv > suantau.dict
,da²,,,,咑,,,,,dieghv > suantau.dict
,dah⁴,,,,搭,,,,,dieghv > suantau.dict
,dah⁴,,,,遢,,,,,dieghv > suantau.dict
,dah⁴,,,,褡,,,,,dieghv > suantau.dict
,dah⁴,,,,耷,,,,,dieghv > suantau.dict
,dah⁴,,,,䐛,,,,,dieghv > suantau.dict
,da⁵,,,,禾,,,,,dieghv > suantau.dict
,dah⁸,,,,踏,,,,,dieghv > suantau.dict
,dah⁸,,,,遝,,,,,dieghv > suantau.dict
,dah⁸,,,,沓,,,,,dieghv > suantau.dict
,ta¹,,,,他,,,,,dieghv > suantau.dict
,ta¹,,,,它,,,,,dieghv > suantau.dict
,ta¹,,,,她,,,,,dieghv > suantau.dict
,ta¹,,,,鉈,,,,,dieghv > suantau.dict
,ta¹,,,,怹,,,,,dieghv > suantau.dict
,tah⁴,,,,趿,,,,,dieghv > suantau.dict
,tah⁴,,,,塔,,,,,dieghv > suantau.dict
,tah⁸,,,,疊,,,,,dieghv > suantau.dict
,la¹,,,,剌,,,,,dieghv > suantau.dict
,la¹,,,,喇,,,,,dieghv > suantau.dict
,la¹,,,,啦,,,,,dieghv > suantau.dict
,la¹,,,,嘞,,,,,dieghv > suantau.dict
,la¹,,,,垃,,,,,dieghv > suantau.dict
,la¹,,,,拉,,,,,dieghv > suantau.dict
,la¹,,,,旯,,,,,dieghv > suantau.dict
,la¹,,,,鞡,,,,,dieghv > suantau.dict
,lah⁴,,,,瘌,,,,,dieghv > suantau.dict
,lah⁴,,,,擸,,,,,dieghv > suantau.dict
,lah⁴,,,,邋,,,,,dieghv > suantau.dict
