puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,a¹,,,,亞,,,,,dieghv > tenghai.dict
,a¹,,,,丫,,,,,dieghv > tenghai.dict
,a¹,,,,椏,,,,,dieghv > tenghai.dict
,a¹,,,,鴉,,,,,dieghv > tenghai.dict
,a¹,,,,氬,,,,,dieghv > tenghai.dict
,a¹,,,,錒,,,,,dieghv > tenghai.dict
,a¹,,,,阿,,,,,dieghv > tenghai.dict
,a²,,,,掗,,,,,dieghv > tenghai.dict
,a³,,,,婭,,,,,dieghv > tenghai.dict
,a³,,,,亞,,,,,dieghv > tenghai.dict
,a³,,,,埡,,,,,dieghv > tenghai.dict
,ah⁴,,,,鴨,,,,,dieghv > tenghai.dict
,ah⁴,,,,押,,,,,dieghv > tenghai.dict
,a⁶,,,,嗄,,,,,dieghv > tenghai.dict
,a⁷,,,,阿,,,,,dieghv > tenghai.dict
,ba¹,,,,巴,,,,,dieghv > tenghai.dict
,ba¹,,,,叭,,,,,dieghv > tenghai.dict
,ba¹,,,,疤,,,,,dieghv > tenghai.dict
,ba¹,,,,扒,,,,,dieghv > tenghai.dict
,ba¹,,,,芭,,,,,dieghv > tenghai.dict
,ba¹,,,,葩,,,,,dieghv > tenghai.dict
,ba¹,,,,豝,,,,,dieghv > tenghai.dict
,ba¹,,,,鈀,,,,,dieghv > tenghai.dict
,ba¹,,,,粑,,,,,dieghv > tenghai.dict
,ba¹,,,,爸,,,,,dieghv > tenghai.dict
,ba²,,,,把,,,,,dieghv > tenghai.dict
,ba²,,,,靶,,,,,dieghv > tenghai.dict
,ba²,,,,飽,,,,,dieghv > tenghai.dict
,ba²,,,,欛,,,,,dieghv > tenghai.dict
,ba³,,,,壩,,,,,dieghv > tenghai.dict
,ba³,,,,灞,,,,,dieghv > tenghai.dict
,ba³,,,,霸,,,,,dieghv > tenghai.dict
,ba³,,,,豹,,,,,dieghv > tenghai.dict
,ba³,,,,趵,,,,,dieghv > tenghai.dict
,ba⁶,,,,罷,,,,,dieghv > tenghai.dict
,ba⁷,,,,吧,,,,,dieghv > tenghai.dict
,pa¹,,,,脬,,,,,dieghv > tenghai.dict
,pa¹,,,,趴,,,,,dieghv > tenghai.dict
,pah⁴,,,,啪,,,,,dieghv > tenghai.dict
,pah⁴,,,,打,,,,,dieghv > tenghai.dict
,pah⁴,,,,拍,,,,,dieghv > tenghai.dict
,pa⁶,,,,泡,,,,,dieghv > tenghai.dict
,da²,,,,打,,,,,dieghv > tenghai.dict
,da²,,,,咑,,,,,dieghv > tenghai.dict
,dah⁴,,,,搭,,,,,dieghv > tenghai.dict
,dah⁴,,,,遢,,,,,dieghv > tenghai.dict
,dah⁴,,,,褡,,,,,dieghv > tenghai.dict
,dah⁴,,,,耷,,,,,dieghv > tenghai.dict
,dah⁴,,,,䐛,,,,,dieghv > tenghai.dict
,da⁵,,,,禾,,,,,dieghv > tenghai.dict
,dah⁸,,,,踏,,,,,dieghv > tenghai.dict
,dah⁸,,,,遝,,,,,dieghv > tenghai.dict
,dah⁸,,,,沓,,,,,dieghv > tenghai.dict
,ta¹,,,,他,,,,,dieghv > tenghai.dict
,ta¹,,,,它,,,,,dieghv > tenghai.dict
,ta¹,,,,她,,,,,dieghv > tenghai.dict
,ta¹,,,,鉈,,,,,dieghv > tenghai.dict
,ta¹,,,,怹,,,,,dieghv > tenghai.dict
,tah⁴,,,,趿,,,,,dieghv > tenghai.dict
,tah⁴,,,,塔,,,,,dieghv > tenghai.dict
,tah⁸,,,,疊,,,,,dieghv > tenghai.dict
,la¹,,,,剌,,,,,dieghv > tenghai.dict
,la¹,,,,喇,,,,,dieghv > tenghai.dict
,la¹,,,,啦,,,,,dieghv > tenghai.dict
,la¹,,,,嘞,,,,,dieghv > tenghai.dict
,la¹,,,,垃,,,,,dieghv > tenghai.dict
,la¹,,,,拉,,,,,dieghv > tenghai.dict
,la¹,,,,旯,,,,,dieghv > tenghai.dict
,la¹,,,,鞡,,,,,dieghv > tenghai.dict
,lah⁴,,,,瘌,,,,,dieghv > tenghai.dict
,lah⁴,,,,擸,,,,,dieghv > tenghai.dict
,lah⁴,,,,邋,,,,,dieghv > tenghai.dict
,la⁵,,,,朥,,,,,dieghv > tenghai.dict
,lah⁸,,,,鬣,,,,,dieghv > tenghai.dict
,lah⁸,,,,獵,,,,,dieghv > tenghai.dict
,lah⁸,,,,蠟,,,,,dieghv > tenghai.dict
,lah⁸,,,,躐,,,,,dieghv > tenghai.dict
,lah⁸,,,,臘,,,,,dieghv > tenghai.dict
,lah⁸,,,,辣,,,,,dieghv > tenghai.dict
,lah⁸,,,,鑞,,,,,dieghv > tenghai.dict
,ga¹,,,,膠,,,,,dieghv > tenghai.dict
,ga¹,,,,虼,,,,,dieghv > tenghai.dict
,ga²,,,,絞,,,,,dieghv > tenghai.dict
,ga²,,,,鉸,,,,,dieghv > tenghai.dict
,ga³,,,,教,,,,,dieghv > tenghai.dict
,ga³,,,,校,,,,,dieghv > tenghai.dict
,ga³,,,,窖,,,,,dieghv > tenghai.dict
,ga³,,,,較,,,,,dieghv > tenghai.dict
,ga³,,,,玍,,,,,dieghv > tenghai.dict
,ga³,,,,尕,,,,,dieghv > tenghai.dict
,gah⁴,,,,甲,,,,,dieghv > tenghai.dict
,gah⁴,,,,岬,,,,,dieghv > tenghai.dict
,gah⁴,,,,胛,,,,,dieghv > tenghai.dict
,gah⁴,,,,鉀,,,,,dieghv > tenghai.dict
,ga⁶,,,,咬,,,,,dieghv > tenghai.dict
,ga⁷,,,,咬,,,,,dieghv > tenghai.dict
,ka¹,,,,腳,,,,,dieghv > tenghai.dict
,ka²,,,,巧,,,,,dieghv > tenghai.dict
,ka²,,,,豈,,,,,dieghv > tenghai.dict
,ka²,,,,卡,,,,,dieghv > tenghai.dict
,ka²,,,,咔,,,,,dieghv > tenghai.dict
,ka²,,,,佧,,,,,dieghv > tenghai.dict
,ka³,,,,扣,,,,,dieghv > tenghai.dict
,ka³,,,,釦,,,,,dieghv > tenghai.dict
,ka³,,,,叩,,,,,dieghv > tenghai.dict
,ha¹,,,,哈,,,,,dieghv > tenghai.dict
,ha³,,,,孝,,,,,dieghv > tenghai.dict
,hah⁴,,,,哈,,,,,dieghv > tenghai.dict
,hah⁴,,,,餄,,,,,dieghv > tenghai.dict
,hah⁴,,,,瓣,,,,,dieghv > tenghai.dict
,hah⁸,,,,合,,,,,dieghv > tenghai.dict
,hah⁸,,,,鉿,,,,,dieghv > tenghai.dict
,za¹,,,,咱,,,,,dieghv > tenghai.dict
,za¹,,,,咤,,,,,dieghv > tenghai.dict
,za¹,,,,吒,,,,,dieghv > tenghai.dict
,za¹,,,,嗟,,,,,dieghv > tenghai.dict
,za¹,,,,喳,,,,,dieghv > tenghai.dict
,za¹,,,,揸,,,,,dieghv > tenghai.dict
,za¹,,,,槎,,,,,dieghv > tenghai.dict
,za¹,,,,茬,,,,,dieghv > tenghai.dict
,za¹,,,,查,,,,,dieghv > tenghai.dict
,za¹,,,,楂,,,,,dieghv > tenghai.dict
,za¹,,,,猹,,,,,dieghv > tenghai.dict
,za¹,,,,侘,,,,,dieghv > tenghai.dict
,za¹,,,,碴,,,,,dieghv > tenghai.dict
,za¹,,,,渣,,,,,dieghv > tenghai.dict
,za¹,,,,溠,,,,,dieghv > tenghai.dict
,za¹,,,,瘥,,,,,dieghv > tenghai.dict
,za¹,,,,皻,,,,,dieghv > tenghai.dict
,za¹,,,,齇,,,,,dieghv > tenghai.dict
,za¹,,,,餷,,,,,dieghv > tenghai.dict
,za¹,,,,蹉,,,,,dieghv > tenghai.dict
,za¹,,,,髽,,,,,dieghv > tenghai.dict
,za²,,,,蚤,,,,,dieghv > tenghai.dict
,za²,,,,早,,,,,dieghv > tenghai.dict
,za²,,,,昔,,,,,dieghv > tenghai.dict
,za²,,,,昨,,,,,dieghv > tenghai.dict
,za²,,,,痄,,,,,dieghv > tenghai.dict
,za³,,,,乍,,,,,dieghv > tenghai.dict
,za³,,,,咋,,,,,dieghv > tenghai.dict
,za³,,,,怍,,,,,dieghv > tenghai.dict
,za³,,,,怎,,,,,dieghv > tenghai.dict
,za³,,,,榨,,,,,dieghv > tenghai.dict
,za³,,,,搾,,,,,dieghv > tenghai.dict
,za³,,,,窄,,,,,dieghv > tenghai.dict
,za³,,,,炸,,,,,dieghv > tenghai.dict
,za³,,,,柞,,,,,dieghv > tenghai.dict
,za³,,,,蚱,,,,,dieghv > tenghai.dict
,za³,,,,砟,,,,,dieghv > tenghai.dict
,za³,,,,詐,,,,,dieghv > tenghai.dict
,za³,,,,鮓,,,,,dieghv > tenghai.dict
,zah⁴,,,,𠷿,,,,,dieghv > tenghai.dict
,zah⁸,,,,卡,,,,,dieghv > tenghai.dict
,zah⁸,,,,柵,,,,,dieghv > tenghai.dict
,zah⁸,,,,炸,,,,,dieghv > tenghai.dict
,zah⁸,,,,閘,,,,,dieghv > tenghai.dict
,ca¹,,,,差,,,,,dieghv > tenghai.dict
,ca¹,,,,岔,,,,,dieghv > tenghai.dict
,ca¹,,,,嵯,,,,,dieghv > tenghai.dict
,ca¹,,,,搓,,,,,dieghv > tenghai.dict
,ca¹,,,,叉,,,,,dieghv > tenghai.dict
,ca¹,,,,衩,,,,,dieghv > tenghai.dict
,ca¹,,,,杈,,,,,dieghv > tenghai.dict
,ca¹,,,,䟕,,,,,dieghv > tenghai.dict
,ca¹,,,,汊,,,,,dieghv > tenghai.dict
,ca²,,,,炒,,,,,dieghv > tenghai.dict
,ca³,,,,詫,,,,,dieghv > tenghai.dict
,ca³,,,,蹅,,,,,dieghv > tenghai.dict
,ca³,,,,礤,,,,,dieghv > tenghai.dict
,ca³,,,,姹,,,,,dieghv > tenghai.dict
,ca³,,,,奼,,,,,dieghv > tenghai.dict
,ca³,,,,仛,,,,,dieghv > tenghai.dict
,cah⁴,,,,插,,,,,dieghv > tenghai.dict
,cah⁴,,,,歃,,,,,dieghv > tenghai.dict
,cah⁴,,,,臿,,,,,dieghv > tenghai.dict
,cah⁴,,,,鍤,,,,,dieghv > tenghai.dict
,ca⁵,,,,柴,,,,,dieghv > tenghai.dict
,ca⁵,,,,垞,,,,,dieghv > tenghai.dict
