recommend,variant_1,variant_2,variant_3
人[替],儂
賢[替],𠢕
識[替],𧧸,捌
俺,咱,,
庵,𤲅,,
冰,氷,,
插,挿,,
場,塲,,
充,𭀚,,
蟲,虫,,
窗,窓,,
床,牀,,
擔,担,,
睇,看,,
顛,顚,,
點,㸃,,
雕,鵰,,
鬥,鬦,,
番,畨,,
礬,𥐥,矾,
改,攺,,
槅,格,,
箍,篐,,
關,𨵿,,
罐,礶,,
粿,餜,,
譁,嘩,,
回,囘,,
喙,嘴,,
即,卽,,
几,𣏌,,
囝,仔,,
骹,腳,脚,跤
叫,呌,,
劫,刧,,
炕床,匟床,,
考,攷,,
闊,濶,,
裡,裏,,
另,叧,,
鎏,鎦,,
袂,𠀾,,
蠓,蚊,,
覓,覔,,
夜,暝,,
摩,埋,,
目澀,目澁,目𥍆,
儂,人,,
拍,打,,
爿,畔,,
強,强,,
牆,墻,,
青,靑,,
清,淸,,
泅,氽,,
嚷,讓,,
熱,爇,,
汝,爾,,
澀,澁,,
濕,溼,,
算,𮅕,,
兔,兎,,
污,汚,,
毋,唔,,
閒,閑,,
嫌,𭒡,,
鄉,鄕,,
煙,烟,,
窯,窰,,
逾,踰,,
冤,寃,,
灶,竈,,
真,眞,,
鎮,鎭,,
值,値,,
眾,衆,,
豬,猪,,
桌,棹,,
斫,斲,,
賢,𠢕,,
詏,䛩,,
䭄,𩛌,嗜,
鯁,骾,,
尚,尙,,
糧,粮,,
郎,郞,,
概,㮣,,
雞,鷄,,
群,羣,,
晴,晴,,
免,免,,
脈,脉,,
僫,難,,
球,毬,,
蓋,盖,,
莊,庄,,
槍,鎗,,
姦,奸,,
篙,竿,,
麵,麫,,
蠔,蚝,,
滂沛,霶霈,,
匏桸,瓠𣟵,,
偏枯,㾫枯,,
腰佝,腰痀,,
弓蕉,芎蕉,,
沙壩,沙埧,,
諸娘,珠娘,姿娘,
諸婦,諸母,查某,諸𡚸
諸夫,查埔,,
阿嬭,阿㜷,,
佝腰,痀腰,,
生分,生份,,
豆芽,荳芽,,
趁錢,贃錢,賺錢,
胡蠅,蝴蠅,,
果子,菓子,,
